from,to,value
Aki,Aki,
Amelia,Aki,3.6
Anya,Aki,10.65
Aqua,Aki,7.04
Aruran,Aki,8.95
Astel,Aki,7.22
Ayame,Aki,5.4
AZki,Aki,21.72
Baelz,Aki,4.41
Botan,Aki,8.61
Calli,Aki,3.52
Choco,Aki,18.03
Fauna,Aki,4.26
Flare,Aki,9.7
Fubuki,Aki,5.97
Gura,Aki,2.14
Haato,Aki,6.69
Ina,Aki,4.1
Iofi,Aki,8.54
IRyS,Aki,4.87
Izuru,Aki,4.51
Kanata,Aki,8.03
Kiara,Aki,4.75
Korone,Aki,5.76
Kronii,Aki,4.03
Lamy,Aki,9.63
Luna,Aki,13.01
Marine,Aki,6.2
Matsuri,Aki,9.77
Mel,Aki,19.96
Miko,Aki,5.66
Mio,Aki,9.21
Miyabi,Aki,5.83
Moona,Aki,5.3
Mumei,Aki,4.15
Nene,Aki,9.77
Noel,Aki,6.46
Oga,Aki,7.46
Okayu,Aki,6.4
Ollie,Aki,4.36
Pekora,Aki,4.6
Polka,Aki,10.88
Reine,Aki,7.65
Rikka,Aki,6.67
Risu,Aki,9.13
Roberu,Aki,7.13
Roboco,Aki,15.23
Rushia,Aki,4.87
Sana,Aki,5.63
Shien,Aki,4.14
Shion,Aki,8.74
Sora,Aki,15.76
Subaru,Aki,6.73
Suisei,Aki,7.21
Temma,Aki,5.56
Towa,Aki,9.03
Watame,Aki,9.15
Aki,Amelia,24.74
Anya,Amelia,28.5
Aqua,Amelia,11.41
Aruran,Amelia,17.06
Astel,Amelia,17.54
Ayame,Amelia,12.19
AZki,Amelia,23.71
Baelz,Amelia,30.44
Botan,Amelia,14.9
Calli,Amelia,30.38
Choco,Amelia,19.81
Fauna,Amelia,31.48
Flare,Amelia,12.25
Fubuki,Amelia,13.37
Gura,Amelia,22.6
Haato,Amelia,23.01
Ina,Amelia,37.39
Iofi,Amelia,20.83
IRyS,Amelia,31.87
Izuru,Amelia,9.13
Kanata,Amelia,12.86
Kiara,Amelia,35.42
Korone,Amelia,13.48
Kronii,Amelia,30.91
Lamy,Amelia,11.28
Luna,Amelia,17.53
Marine,Amelia,11.08
Matsuri,Amelia,16.3
Mel,Amelia,21.86
Miko,Amelia,12.14
Mio,Amelia,12.43
Miyabi,Amelia,9.8
Moona,Amelia,15.89
Mumei,Amelia,33.16
