from,to,value
Aki,Aki,
Amelia,Aki,2.21
Anya,Aki,7.46
Aqua,Aki,5
Aruran,Aki,6.58
Astel,Aki,2.85
Ayame,Aki,4.18
AZki,Aki,13.87
Baelz,Aki,2.68
Botan,Aki,6.84
Calli,Aki,2.17
Choco,Aki,16.3
Fauna,Aki,2.64
Flare,Aki,8.12
Fubuki,Aki,5.76
Gura,Aki,1.64
Haato,Aki,7.51
Ina,Aki,2.37
Iofi,Aki,4.43
IRyS,Aki,3.12
Izuru,Aki,1.86
Kanata,Aki,5.84
Kiara,Aki,3.13
Korone,Aki,5.03
Kronii,Aki,2.05
Lamy,Aki,6.26
Luna,Aki,9.2
Marine,Aki,5.19
Matsuri,Aki,8.26
Mel,Aki,29.18
Miko,Aki,4.54
Mio,Aki,8.31
Miyabi,Aki,3.35
Moona,Aki,3.27
Mumei,Aki,2.12
Nene,Aki,6.93
Noel,Aki,5.67
Oga,Aki,4.48
Okayu,Aki,5.11
Ollie,Aki,2.97
Pekora,Aki,3.11
Polka,Aki,9.3
Reine,Aki,4.25
Rikka,Aki,2.55
Risu,Aki,4.85
Roberu,Aki,4.17
Roboco,Aki,12.42
Rushia,Aki,4.08
Sana,Aki,3.5
Shien,Aki,2.24
Shion,Aki,7.49
Sora,Aki,12.14
Subaru,Aki,5.32
Suisei,Aki,5.14
Temma,Aki,4.14
Towa,Aki,7.44
Watame,Aki,7.08
Aki,Amelia,13.02
Anya,Amelia,18.38
Aqua,Amelia,6.35
Aruran,Amelia,8.26
Astel,Amelia,8.29
Ayame,Amelia,5.55
AZki,Amelia,14.7
Baelz,Amelia,30.13
Botan,Amelia,8.75
Calli,Amelia,35.62
Choco,Amelia,10.13
Fauna,Amelia,32.93
Flare,Amelia,6.72
Fubuki,Amelia,8.17
Gura,Amelia,32.15
Haato,Amelia,16.17
Ina,Amelia,36.51
Iofi,Amelia,10.19
IRyS,Amelia,32.04
Izuru,Amelia,4.31
Kanata,Amelia,5.81
Kiara,Amelia,33.02
Korone,Amelia,9.1
Kronii,Amelia,29.31
Lamy,Amelia,5.98
Luna,Amelia,8.97
Marine,Amelia,6.17
Matsuri,Amelia,8.75
Mel,Amelia,14.06
Miko,Amelia,5.98
Mio,Amelia,5.2
Miyabi,Amelia,3.8
Moona,Amelia,13.64
Mumei,Amelia,31.45
Nene,Amelia,9.57
Noel,Amelia,5.07
Oga,Amelia,5.17
Okayu,Amelia,5.32
Ollie,Amelia,21.19
Pekora,Amelia,7.53
Polka,Amelia,8.65
Reine,Amelia,23.06
Rikka,Amelia,6.73
Risu,Amelia,12.75
Roberu,Amelia,4.45
Roboco,Amelia,11.3
Rushia,Amelia,4.96
Sana,Amelia,36.03
Shien,Amelia,5.14
Shion,Amelia,6.41
Sora,Amelia,11.32
Subaru,Amelia,4.19
Suisei,Amelia,6.75
Temma,Amelia,6.74
Towa,Amelia,11.58
Watame,Amelia,7.42
Aki,Anya,10.08
Amelia,Anya,4.21
Aqua,Anya,4.26
Aruran,Anya,5.43
Astel,Anya,5.44
Ayame,Anya,3.51
AZki,Anya,10.22
Baelz,Anya,4.8
