from,to,value
Anya,Anya,
Iofi,Anya,10.28
Kaela,Anya,4.23
Kobo,Anya,1.4
Moona,Anya,8.11
Ollie,Anya,6.4
Reine,Anya,7.45
Risu,Anya,9.48
Zeta,Anya,3.79
Anya,Iofi,23.14
Kaela,Iofi,7.33
Kobo,Iofi,3.91
Moona,Iofi,17.93
Ollie,Iofi,14.44
Reine,Iofi,10.81
Risu,Iofi,23.56
Zeta,Iofi,8.45
Anya,Kaela,46.12
Iofi,Kaela,35.49
Kobo,Kaela,19.69
Moona,Kaela,46.48
Ollie,Kaela,37.25
Reine,Kaela,32.94
Risu,Kaela,49.07
Zeta,Kaela,37.36
Anya,Kobo,30.74
Iofi,Kobo,38.24
Kaela,Kobo,39.78
Moona,Kobo,41.81
Ollie,Kobo,39.39
Reine,Kobo,23.43
Risu,Kobo,41.92
Zeta,Kobo,44.25
Anya,Moona,23.93
Iofi,Moona,23.52
Kaela,Moona,12.59
Kobo,Moona,5.6
Ollie,Moona,19.44
Reine,Moona,16.85
Risu,Moona,31.58
Zeta,Moona,11.89
Anya,Ollie,24.09
Iofi,Ollie,24.15
Kaela,Ollie,12.86
Kobo,Ollie,6.73
Moona,Ollie,24.8
Reine,Ollie,21.26
Risu,Ollie,27.24
Zeta,Ollie,13.37
Anya,Reine,32.65
Iofi,Reine,21.06
Kaela,Reine,13.24
Kobo,Reine,4.66
Moona,Reine,25.01
Ollie,Reine,24.75
Risu,Reine,28.17
Zeta,Reine,12.33
Anya,Risu,22.5
Iofi,Risu,24.86
Kaela,Risu,10.68
Kobo,Risu,4.52
Moona,Risu,25.39
Ollie,Risu,17.17
Reine,Risu,15.26
Zeta,Risu,9.71
Anya,Zeta,41.2
Iofi,Zeta,40.77
Kaela,Zeta,37.21
Kobo,Zeta,21.81
Moona,Zeta,43.75
Ollie,Zeta,38.55
Reine,Zeta,30.55
Risu,Zeta,44.39
