from,to,value
Amelia,Amelia,
Baelz,Amelia,37.04
Calli,Amelia,26.85
Fauna,Amelia,35.17
Gura,Amelia,28.88
Ina,Amelia,31.85
IRyS,Amelia,31.53
Kiara,Amelia,28.29
Kronii,Amelia,31.25
Mumei,Amelia,32.75
Sana,Amelia,31.13
Amelia,Baelz,27.72
Calli,Baelz,25.46
Fauna,Baelz,29.74
Gura,Baelz,23.16
Ina,Baelz,24.79
IRyS,Baelz,32.64
Kiara,Baelz,24.65
Kronii,Baelz,30.33
Mumei,Baelz,29.47
Sana,Baelz,27.69
Amelia,Calli,29.86
Baelz,Calli,37.83
Fauna,Calli,29.09
Gura,Calli,24.19
Ina,Calli,27.42
IRyS,Calli,32.24
Kiara,Calli,29.4
Kronii,Calli,30.13
Mumei,Calli,27.89
Sana,Calli,28.28
Amelia,Fauna,33
Baelz,Fauna,37.29
Calli,Fauna,24.55
Gura,Fauna,26.46
Ina,Fauna,31.91
IRyS,Fauna,33.14
Kiara,Fauna,25.34
Kronii,Fauna,34.27
Mumei,Fauna,33.67
Sana,Fauna,28.19
Amelia,Gura,37.81
Baelz,Gura,40.5
Calli,Gura,28.47
Fauna,Gura,36.91
Ina,Gura,32.64
IRyS,Gura,33.6
Kiara,Gura,27.82
Kronii,Gura,34.96
Mumei,Gura,36.1
Sana,Gura,28.24
Amelia,Ina,34.18
Baelz,Ina,35.54
Calli,Ina,26.46
Fauna,Ina,36.5
Gura,Ina,26.76
IRyS,Ina,30.45
Kiara,Ina,26.85
Kronii,Ina,29.77
Mumei,Ina,30.09
Sana,Ina,30.41
Amelia,IRyS,29.53
Baelz,IRyS,40.83
Calli,IRyS,27.15
Fauna,IRyS,33.07
Gura,IRyS,24.04
Ina,IRyS,26.57
Kiara,IRyS,26.2
Kronii,IRyS,31.94
Mumei,IRyS,31.38
Sana,IRyS,28.13
Amelia,Kiara,37.91
Baelz,Kiara,44.13
Calli,Kiara,35.42
Fauna,Kiara,36.18
Gura,Kiara,28.47
Ina,Kiara,33.52
IRyS,Kiara,37.49
Kronii,Kiara,32.52
Mumei,Kiara,33.57
Sana,Kiara,36.83
Amelia,Kronii,29.47
Baelz,Kronii,38.21
Calli,Kronii,25.55
Fauna,Kronii,34.44
Gura,Kronii,25.18
Ina,Kronii,26.15
IRyS,Kronii,32.17
Kiara,Kronii,22.89
Mumei,Kronii,33.2
Sana,Kronii,26.9
Amelia,Mumei,41.36
Baelz,Mumei,49.73
Calli,Mumei,31.68
Fauna,Mumei,45.32
Gura,Mumei,34.83
Ina,Mumei,35.41
IRyS,Mumei,42.33
Kiara,Mumei,31.64
Kronii,Mumei,44.47
Sana,Mumei,39.03
Amelia,Sana,32.14
Baelz,Sana,38.2
Calli,Sana,26.26
Fauna,Sana,31.02
Gura,Sana,22.27
Ina,Sana,29.25
IRyS,Sana,31.01
Kiara,Sana,28.39
Kronii,Sana,29.46
Mumei,Sana,31.91
