from,to,value
Altare,Altare,
Aruran,Altare,18.49
Astel,Altare,27.19
Axel,Altare,56.36
Dezmond,Altare,48.51
Fuma,Altare,27.33
Gamma,Altare,28.33
Izuru,Altare,17.14
Miyabi,Altare,26.94
Oga,Altare,19.98
Rikka,Altare,28
Rio,Altare,28.12
Roberu,Altare,13.71
Shien,Altare,21.23
Temma,Altare,22.91
Uyu,Altare,30.83
Vesper,Altare,43.39
Altare,Aruran,3.4
Astel,Aruran,17.84
Axel,Aruran,4.5
Dezmond,Aruran,3.02
Fuma,Aruran,21.99
Gamma,Aruran,22.62
Izuru,Aruran,36.43
Miyabi,Aruran,49.39
Oga,Aruran,32.48
Rikka,Aruran,39.38
Rio,Aruran,21.85
Roberu,Aruran,18.01
Shien,Aruran,40.14
Temma,Aruran,45.11
Uyu,Aruran,32.84
Vesper,Aruran,2.73
Altare,Astel,6.74
Aruran,Astel,24.03
Axel,Astel,8.53
Dezmond,Astel,6
Fuma,Astel,30.51
Gamma,Astel,25.28
Izuru,Astel,39.64
Miyabi,Astel,36.87
Oga,Astel,22.65
Rikka,Astel,32.62
Rio,Astel,24.39
Roberu,Astel,15.01
Shien,Astel,29.04
Temma,Astel,32.7
Uyu,Astel,37.25
Vesper,Astel,5.23
Altare,Axel,41.13
Aruran,Axel,17.84
Astel,Axel,25.11
Dezmond,Axel,38.74
Fuma,Axel,24.27
Gamma,Axel,28.03
Izuru,Axel,16.43
Miyabi,Axel,24.63
Oga,Axel,20.73
Rikka,Axel,24.77
Rio,Axel,25.07
Roberu,Axel,13.75
Shien,Axel,20.82
Temma,Axel,22.08
Uyu,Axel,26.42
Vesper,Axel,35.74
Altare,Dezmond,57.77
Aruran,Dezmond,19.57
Astel,Dezmond,28.85
Axel,Dezmond,63.21
Fuma,Dezmond,25.89
Gamma,Dezmond,30.13
Izuru,Dezmond,16.79
Miyabi,Dezmond,26.8
Oga,Dezmond,20.94
Rikka,Dezmond,27.69
Rio,Dezmond,27.05
Roberu,Dezmond,14.97
Shien,Dezmond,22.05
Temma,Dezmond,23.63
Uyu,Dezmond,31.19
Vesper,Dezmond,49.24
Altare,Fuma,5.56
Aruran,Fuma,24.32
Astel,Fuma,25.05
Axel,Fuma,6.77
Dezmond,Fuma,4.42
Gamma,Fuma,30.78
Izuru,Fuma,38.93
Miyabi,Fuma,38.1
Oga,Fuma,23.29
Rikka,Fuma,38.31
Rio,Fuma,32.92
Roberu,Fuma,13.15
Shien,Fuma,36.44
Temma,Fuma,36.99
Uyu,Fuma,49.17
Vesper,Fuma,3.86
Altare,Gamma,7.49
Aruran,Gamma,32.52
Astel,Gamma,26.98
Axel,Gamma,10.16
Dezmond,Gamma,6.69
Fuma,Gamma,40.01
Izuru,Gamma,36.07
Miyabi,Gamma,43.27
Oga,Gamma,33.12
Rikka,Gamma,40.62
Rio,Gamma,34.5
Roberu,Gamma,20.53
Shien,Gamma,40.82
Temma,Gamma,43.44
Uyu,Gamma,52.84
Vesper,Gamma,5.88
Altare,Izuru,0.64
Aruran,Izuru,7.34
Astel,Izuru,5.93
Axel,Izuru,0.83
Dezmond,Izuru,0.52
Fuma,Izuru,7.09
Gamma,Izuru,5.06
Miyabi,Izuru,12.38
Oga,Izuru,5.56
Rikka,Izuru,12.77
Rio,Izuru,5.48
Roberu,Izuru,3.64
Shien,Izuru,10.82
Temma,Izuru,11.69
Uyu,Izuru,9.17
Vesper,Izuru,0.4
Altare,Miyabi,2.62
Aruran,Miyabi,26.12
Astel,Miyabi,14.48
Axel,Miyabi,3.28
Dezmond,Miyabi,2.19
Fuma,Miyabi,18.22
Gamma,Miyabi,15.92
Izuru,Miyabi,32.5
Oga,Miyabi,18.8
Rikka,Miyabi,34.77
Rio,Miyabi,17.73
Roberu,Miyabi,10.35
Shien,Miyabi,33.15
Temma,Miyabi,44.27
Uyu,Miyabi,30.83
Vesper,Miyabi,1.9
Altare,Oga,2.48
Aruran,Oga,21.87
Astel,Oga,11.32
Axel,Oga,3.52
Dezmond,Oga,2.18
Fuma,Oga,14.18
Gamma,Oga,15.52
Izuru,Oga,18.57
Miyabi,Oga,23.95
Rikka,Oga,24.31
Rio,Oga,14.23
Roberu,Oga,11.19
Shien,Oga,31.37
Temma,Oga,28.04
Uyu,Oga,23.3
Vesper,Oga,1.94
Altare,Rikka,2.41
Aruran,Rikka,18.42
Astel,Rikka,11.32
Axel,Rikka,2.92
Dezmond,Rikka,2
Fuma,Rikka,16.2
Gamma,Rikka,13.21
Izuru,Rikka,29.64
Miyabi,Rikka,30.75
Oga,Rikka,16.88
Rio,Rikka,14.79
Roberu,Rikka,7.87
Shien,Rikka,29.32
Temma,Rikka,26.49
Uyu,Rikka,26.61
Vesper,Rikka,1.73
Altare,Rio,6.59
Aruran,Rio,27.84
Astel,Rio,23.08
Axel,Rio,8.05
Dezmond,Rio,5.32
Fuma,Rio,37.93
Gamma,Rio,30.58
Izuru,Rio,34.64
Miyabi,Rio,42.72
Oga,Rio,26.92
Rikka,Rio,40.31
Roberu,Rio,14.24
Shien,Rio,37.53
Temma,Rio,37.71
Uyu,Rio,52.11
Vesper,Rio,4.8
Altare,Roberu,5.19
Aruran,Roberu,37.05
Astel,Roberu,22.92
Axel,Roberu,7.13
Dezmond,Roberu,4.76
Fuma,Roberu,24.46
