from,to,value
Aki,Aki,
Aqua,Aki,6.83
AZki,Aki,22.51
Botan,Aki,9.24
Chloe,Aki,6.92
Choco,Aki,19.83
Flare,Aki,12.9
Fubuki,Aki,7.94
Haato,Aki,12.3
Iroha,Aki,7.8
Kanata,Aki,7.67
Korone,Aki,6.07
Koyori,Aki,6.44
Lamy,Aki,8.45
Laplus,Aki,7.26
Lui,Aki,8.32
Luna,Aki,9.66
Marine,Aki,6.27
Matsuri,Aki,12.04
Mel,Aki,16.5
Miko,Aki,6
Mio,Aki,10.59
Nene,Aki,12.69
Noel,Aki,7.87
Okayu,Aki,6.07
Pekora,Aki,5.01
Polka,Aki,15.96
Roboco,Aki,16.01
Shion,Aki,7.48
Sora,Aki,13.35
Subaru,Aki,5.11
Suisei,Aki,6.45
Towa,Aki,8.1
Watame,Aki,7.72
Aki,Aqua,4
AZki,Aqua,4.6
Botan,Aqua,2.94
Chloe,Aqua,4.93
Choco,Aqua,4.48
Flare,Aqua,2.78
Fubuki,Aqua,3.12
Haato,Aqua,4.54
Iroha,Aqua,3.68
Kanata,Aqua,9.58
Korone,Aqua,3.32
Koyori,Aqua,2.92
Lamy,Aqua,6.59
Laplus,Aqua,4.64
Lui,Aqua,2.5
Luna,Aqua,3.64
Marine,Aqua,4.08
Matsuri,Aqua,4.13
Mel,Aqua,6.78
Miko,Aqua,2.89
Mio,Aqua,4.32
Nene,Aqua,4.51
Noel,Aqua,3.35
Okayu,Aqua,3.46
Pekora,Aqua,3.05
Polka,Aqua,3.11
Roboco,Aqua,4.06
Shion,Aqua,10.16
Sora,Aqua,4.52
Subaru,Aqua,2.85
Suisei,Aqua,4.17
Towa,Aqua,4.75
Watame,Aqua,2.08
Aki,AZki,5.42
Aqua,AZki,1.89
Botan,AZki,2.51
Chloe,AZki,2.23
Choco,AZki,3.08
Flare,AZki,2.47
Fubuki,AZki,2.02
Haato,AZki,3.82
Iroha,AZki,2.28
Kanata,AZki,3.19
Korone,AZki,1.37
Koyori,AZki,1.31
Lamy,AZki,3.04
Laplus,AZki,2.3
Lui,AZki,1.7
Luna,AZki,2.38
Marine,AZki,1.93
Matsuri,AZki,3.41
Mel,AZki,8.96
Miko,AZki,1.36
Mio,AZki,2.48
Nene,AZki,3.55
Noel,AZki,1.79
Okayu,AZki,2.09
Pekora,AZki,1.27
Polka,AZki,2.65
Roboco,AZki,5.04
Shion,AZki,2.6
Sora,AZki,6.21
Subaru,AZki,1.25
Suisei,AZki,3.2
Towa,AZki,2.79
Watame,AZki,2.18
Aki,Botan,14.54
Aqua,Botan,7.89
AZki,Botan,16.37
Chloe,Botan,9.5
Choco,Botan,14.09
Flare,Botan,12.33
Fubuki,Botan,10.95
Haato,Botan,10.05
Iroha,Botan,12.01
Kanata,Botan,7.35
Korone,Botan,8.85
Koyori,Botan,8.97
Lamy,Botan,14.53
Laplus,Botan,10.29
Lui,Botan,12.4
Luna,Botan,11.27
Marine,Botan,9.74
Matsuri,Botan,11.9
Mel,Botan,13.07
Miko,Botan,7.94
Mio,Botan,14.81
Nene,Botan,14.21
Noel,Botan,9.61
Okayu,Botan,11.14
Pekora,Botan,7.78
Polka,Botan,14.87
Roboco,Botan,15.46
Shion,Botan,9.68
Sora,Botan,11.11
Subaru,Botan,7.52
Suisei,Botan,10.39
Towa,Botan,12.73
Watame,Botan,10.85
Aki,Chloe,14.36
Aqua,Chloe,17.46
AZki,Chloe,19.18
Botan,Chloe,12.53
Choco,Chloe,19.2
Flare,Chloe,12.17
Fubuki,Chloe,13.05
Haato,Chloe,16.66
Iroha,Chloe,21.45
Kanata,Chloe,18.21
Korone,Chloe,11.76
Koyori,Chloe,15.62
Lamy,Chloe,18.07
Laplus,Chloe,20.53
Lui,Chloe,17.67
Luna,Chloe,14.38
Marine,Chloe,14.7
Matsuri,Chloe,15.64
Mel,Chloe,17.92
Miko,Chloe,10.16
Mio,Chloe,15.02
Nene,Chloe,15.45
Noel,Chloe,16.17
Okayu,Chloe,12.81
Pekora,Chloe,10.82
Polka,Chloe,14.91
Roboco,Chloe,15.57
Shion,Chloe,18.84
Sora,Chloe,11.2
Subaru,Chloe,9.59
Suisei,Chloe,13.02
Towa,Chloe,13.99
Watame,Chloe,10.76
Aki,Choco,17.44
Aqua,Choco,6.73
AZki,Choco,11.25
Botan,Choco,7.87
Chloe,Choco,8.14
Flare,Choco,10.54
Fubuki,Choco,7.22
Haato,Choco,15.32
Iroha,Choco,7.6
Kanata,Choco,39.3
Korone,Choco,5.8
Koyori,Choco,6.32
Lamy,Choco,7.77
Laplus,Choco,8.36
Lui,Choco,8.95
Luna,Choco,9.45
Marine,Choco,8.34
Matsuri,Choco,9.63
Mel,Choco,13.65
Miko,Choco,5.63
Mio,Choco,9.77
Nene,Choco,9.48
Noel,Choco,8.52
Okayu,Choco,8.01
Pekora,Choco,5.15
Polka,Choco,11
Roboco,Choco,13.38
Shion,Choco,9.76
Sora,Choco,9.63
