from,to,value
Altare,Altare,
Aruran,Altare,18.94
Astel,Altare,26.39
Axel,Altare,41.72
Dezmond,Altare,40.51
Fuma,Altare,21.9
Gamma,Altare,20.25
Izuru,Altare,22.8
Miyabi,Altare,20.59
Oga,Altare,15.84
Rikka,Altare,23.56
Rio,Altare,24.88
Roberu,Altare,5.09
Shien,Altare,23.52
Temma,Altare,20.63
Uyu,Altare,29.68
Vesper,Altare,39.93
Altare,Aruran,7.87
Astel,Aruran,30.84
Axel,Aruran,8.73
Dezmond,Aruran,6.79
Fuma,Aruran,38.38
Gamma,Aruran,34.32
Izuru,Aruran,35.7
Miyabi,Aruran,59.62
Oga,Aruran,43.13
Rikka,Aruran,45.95
Rio,Aruran,42.59
Roberu,Aruran,21.52
Shien,Aruran,45.35
Temma,Aruran,50.54
Uyu,Aruran,42.89
Vesper,Aruran,7.52
Altare,Astel,6.74
Aruran,Astel,18.96
Axel,Astel,7.97
Dezmond,Astel,5.68
Fuma,Astel,33.74
Gamma,Astel,23.03
Izuru,Astel,50.9
Miyabi,Astel,41.73
Oga,Astel,22.54
Rikka,Astel,38.58
Rio,Astel,33.77
Roberu,Astel,10.08
Shien,Astel,32.1
Temma,Astel,37.71
Uyu,Astel,37.85
Vesper,Astel,5.68
Altare,Axel,47.37
Aruran,Axel,23.84
Astel,Axel,35.39
Dezmond,Axel,44.31
Fuma,Axel,26.22
Gamma,Axel,25.37
Izuru,Axel,28.9
Miyabi,Axel,24.55
Oga,Axel,20.66
Rikka,Axel,27.94
Rio,Axel,29.38
Roberu,Axel,7.47
Shien,Axel,28.97
Temma,Axel,24.96
Uyu,Axel,37.4
Vesper,Axel,42.26
Altare,Dezmond,50.7
Aruran,Dezmond,20.44
Astel,Dezmond,27.8
Axel,Dezmond,48.85
Fuma,Dezmond,18.92
Gamma,Dezmond,20.5
Izuru,Dezmond,21.9
Miyabi,Dezmond,19.06
Oga,Dezmond,15.98
Rikka,Dezmond,22.06
Rio,Dezmond,24.57
Roberu,Dezmond,5.64
Shien,Dezmond,24.16
Temma,Dezmond,20.4
Uyu,Dezmond,30.57
Vesper,Dezmond,46.77
Altare,Fuma,1.59
Aruran,Fuma,6.69
Astel,Fuma,9.57
Axel,Fuma,1.67
Dezmond,Fuma,1.1
Gamma,Fuma,12.43
Izuru,Fuma,16.2
Miyabi,Fuma,18.53
Oga,Fuma,9.98
Rikka,Fuma,13.9
Rio,Fuma,19.51
Roberu,Fuma,4.54
Shien,Fuma,13
Temma,Fuma,17.08
Uyu,Fuma,23.74
Vesper,Fuma,1.44
Altare,Gamma,4.44
Aruran,Gamma,18.11
Astel,Gamma,19.77
Axel,Gamma,4.9
Dezmond,Gamma,3.59
Fuma,Gamma,37.61
Izuru,Gamma,26.4
Miyabi,Gamma,36.51
Oga,Gamma,25.26
Rikka,Gamma,30.61
Rio,Gamma,37.96
Roberu,Gamma,12.55
Shien,Gamma,31.38
Temma,Gamma,31.3
Uyu,Gamma,44.34
Vesper,Gamma,3.87
Altare,Izuru,1.83
Aruran,Izuru,6.89
Astel,Izuru,15.97
Axel,Izuru,2.04
Dezmond,Izuru,1.4
Fuma,Izuru,17.92
Gamma,Izuru,9.65
Miyabi,Izuru,19.6
Oga,Izuru,8.72
Rikka,Izuru,17.23
Rio,Izuru,15.31
Roberu,Izuru,4.21
Shien,Izuru,13.64
Temma,Izuru,20.02
Uyu,Izuru,17.92
Vesper,Izuru,1.37
Altare,Miyabi,1.84
Aruran,Miyabi,12.79
Astel,Miyabi,14.56
Axel,Miyabi,1.93
Dezmond,Miyabi,1.36
Fuma,Miyabi,22.79
Gamma,Miyabi,14.84
Izuru,Miyabi,21.8
Oga,Miyabi,17.17
Rikka,Miyabi,27.61
Rio,Miyabi,23.52
Roberu,Miyabi,6.92
Shien,Miyabi,23.76
Temma,Miyabi,38.18
Uyu,Miyabi,25.31
Vesper,Miyabi,1.65
Altare,Oga,1.82
Aruran,Oga,11.92
Astel,Oga,10.13
Axel,Oga,2.09
Dezmond,Oga,1.47
Fuma,Oga,15.82
Gamma,Oga,13.23
Izuru,Oga,12.5
Miyabi,Oga,22.12
Rikka,Oga,19.13
Rio,Oga,15.68
Roberu,Oga,8.9
Shien,Oga,24.08
Temma,Oga,19.32
Uyu,Oga,20.49
Vesper,Oga,1.78
Altare,Rikka,2.89
Aruran,Rikka,13.58
Astel,Rikka,18.54
Axel,Rikka,3.02
Dezmond,Rikka,2.17
Fuma,Rikka,23.56
Gamma,Rikka,17.14
Izuru,Rikka,26.4
Miyabi,Rikka,38.04
Oga,Rikka,20.45
Rio,Rikka,27.84
Roberu,Rikka,7.9
Shien,Rikka,29.94
Temma,Rikka,33.85
Uyu,Rikka,27.44
Vesper,Rikka,2.47
Altare,Rio,3.23
Aruran,Rio,13.31
Astel,Rio,17.16
Axel,Rio,3.36
Dezmond,Rio,2.55
