from,to,value
Aki,Aki,
Ao,Aki,21.11
Aqua,Aki,16.96
Ayame,Aki,21.29
AZki,Aki,28.22
Botan,Aki,30.58
Chloe,Aki,20.72
Choco,Aki,53.67
Flare,Aki,28.61
Fubuki,Aki,20.37
Hajime,Aki,19.93
Iroha,Aki,22.92
Kanade,Aki,18.16
Kanata,Aki,23.01
Korone,Aki,18.27
Koyori,Aki,17.98
Lamy,Aki,23.44
Laplus,Aki,25.38
Lui,Aki,21.49
Luna,Aki,27.12
Marine,Aki,17.13
Matsuri,Aki,28.23
Mel,Aki,33.25
Miko,Aki,17.38
Mio,Aki,24.87
Nene,Aki,26.3
Noel,Aki,21.8
Okayu,Aki,20.58
Pekora,Aki,14.66
Polka,Aki,30.08
Raden,Aki,17.74
Ririka,Aki,21.42
Roboco,Aki,41.49
Shion,Aki,24.33
Sora,Aki,23.18
Subaru,Aki,18.95
Suisei,Aki,18.39
Towa,Aki,26
Watame,Aki,21.87
Aki,Ao,14.36
Aqua,Ao,11.09
Ayame,Ao,15.17
AZki,Ao,25.23
Botan,Ao,22.52
Chloe,Ao,21.07
Choco,Ao,21.3
Flare,Ao,23.88
Fubuki,Ao,16.04
Hajime,Ao,35
Iroha,Ao,26.78
Kanade,Ao,27.92
Kanata,Ao,20.8
Korone,Ao,14.3
Koyori,Ao,15.93
Lamy,Ao,20.46
Laplus,Ao,27.27
Lui,Ao,18.76
Luna,Ao,20.8
Marine,Ao,14.78
Matsuri,Ao,22.13
Mel,Ao,26.5
Miko,Ao,14.73
Mio,Ao,21.82
Nene,Ao,22.59
Noel,Ao,19.09
Okayu,Ao,20.66
Pekora,Ao,12.47
Polka,Ao,24.08
Raden,Ao,27.52
Ririka,Ao,30.84
Roboco,Ao,29.29
Shion,Ao,20.38
Sora,Ao,21.1
Subaru,Ao,15.11
Suisei,Ao,17.82
Towa,Ao,20.33
Watame,Ao,17.91
Aki,Aqua,20.32
Ao,Aqua,19.52
Ayame,Aqua,31.11
AZki,Aqua,25.79
Botan,Aqua,22.5
Chloe,Aqua,25.87
Choco,Aqua,24.94
Flare,Aqua,23.84
Fubuki,Aqua,18.95
Hajime,Aqua,20.81
Iroha,Aqua,25.2
Kanade,Aqua,21.28
Kanata,Aqua,26.4
Korone,Aqua,17.95
Koyori,Aqua,18.34
Lamy,Aqua,23.14
Laplus,Aqua,28.52
Lui,Aqua,16.75
Luna,Aqua,23.4
Marine,Aqua,21.26
Matsuri,Aqua,28.43
Mel,Aqua,28.72
Miko,Aqua,18.33
Mio,Aqua,22.25
Nene,Aqua,24.67
Noel,Aqua,21.84
Okayu,Aqua,20.77
Pekora,Aqua,17.56
Polka,Aqua,22.36
Raden,Aqua,16.74
Ririka,Aqua,20.45
Roboco,Aqua,30.66
Shion,Aqua,35.77
Sora,Aqua,20.8
Subaru,Aqua,16.37
Suisei,Aqua,23.22
Towa,Aqua,25.67
Watame,Aqua,19.03
Aki,Ayame,5.45
Ao,Ayame,5.7
Aqua,Ayame,6.65
AZki,Ayame,9.1
Botan,Ayame,7.6
Chloe,Ayame,8.13
Choco,Ayame,7.35
Flare,Ayame,7.48
Fubuki,Ayame,6.22
Hajime,Ayame,6.06
Iroha,Ayame,8.81
Kanade,Ayame,5.77
Kanata,Ayame,7.03
Korone,Ayame,4.74
Koyori,Ayame,4.46
Lamy,Ayame,6.69
Laplus,Ayame,11.77
Lui,Ayame,4.45
Luna,Ayame,6.43
Marine,Ayame,4.79
Matsuri,Ayame,7.83
Mel,Ayame,9.21
Miko,Ayame,4.28
Mio,Ayame,7.97
Nene,Ayame,7.25
Noel,Ayame,5.73
Okayu,Ayame,8.55
Pekora,Ayame,3.5
Polka,Ayame,6.69
Raden,Ayame,4.72
Ririka,Ayame,5.55
Roboco,Ayame,12.27
Shion,Ayame,11.18
Sora,Ayame,7.06
Subaru,Ayame,4.09
Suisei,Ayame,6.05
Towa,Ayame,8.27
Watame,Ayame,5.82
Aki,AZki,14.08
Ao,AZki,18.51
Aqua,AZki,10.75
Ayame,AZki,17.74
Botan,AZki,22.61
Chloe,AZki,20.35
Choco,AZki,19.53
Flare,AZki,26.99
Fubuki,AZki,16.11
Hajime,AZki,16.59
Iroha,AZki,25
Kanade,AZki,16.28
Kanata,AZki,22.15
Korone,AZki,13.86
Koyori,AZki,14.61
Lamy,AZki,19.94
Laplus,AZki,21.52
Lui,AZki,15.76
Luna,AZki,21.45
Marine,AZki,13.69
Matsuri,AZki,20.57
Mel,AZki,28.53
Miko,AZki,12.83
Mio,AZki,23.25
Nene,AZki,20.98
Noel,AZki,17.87
Okayu,AZki,19.66
Pekora,AZki,10.2
Polka,AZki,21.55
Raden,AZki,14.1
Ririka,AZki,17.21
Roboco,AZki,34.12
Shion,AZki,20.52
Sora,AZki,28.7
Subaru,AZki,12.77
Suisei,AZki,16.07
Towa,AZki,19.36
Watame,AZki,19.67
Aki,Botan,10.92
Ao,Botan,11.82
Aqua,Botan,6.71
Ayame,Botan,10.61
AZki,Botan,16.17
Chloe,Botan,11.93
Choco,Botan,16.78
Flare,Botan,15.84
Fubuki,Botan,9.82
Hajime,Botan,10.89
Iroha,Botan,13.72
Kanade,Botan,8.82
Kanata,Botan,12.77
Korone,Botan,10.93
Koyori,Botan,10.04
Lamy,Botan,16.02
Laplus,Botan,15.57
Lui,Botan,11.23
Luna,Botan,16.01
Marine,Botan,8.82
Matsuri,Botan,13.02
Mel,Botan,16.6
Miko,Botan,8.43
Mio,Botan,15.16
Nene,Botan,17.9
Noel,Botan,11.82
Okayu,Botan,13.22
Pekora,Botan,7.53
Polka,Botan,22.47
Raden,Botan,9.28
Ririka,Botan,10.64
Roboco,Botan,20.36
Shion,Botan,12.66
Sora,Botan,12.37
Subaru,Botan,11.64
Suisei,Botan,9.86
Towa,Botan,13.25
Watame,Botan,14.3
Aki,Chloe,13.6
Ao,Chloe,20.34
Aqua,Chloe,14.19
Ayame,Chloe,20.87
AZki,Chloe,26.78
Botan,Chloe,21.94
Choco,Chloe,20.71
Flare,Chloe,23.66
Fubuki,Chloe,16.43
Hajime,Chloe,20.34
Iroha,Chloe,28.28
Kanade,Chloe,19.38
Kanata,Chloe,26.8
Korone,Chloe,16.42
Koyori,Chloe,17.95
Lamy,Chloe,24.87
Laplus,Chloe,26.1
Lui,Chloe,18.11
Luna,Chloe,22.08
Marine,Chloe,17.27
Matsuri,Chloe,23.09
Mel,Chloe,27.61
Miko,Chloe,15.23
Mio,Chloe,22.51
Nene,Chloe,24.79
Noel,Chloe,22.29
Okayu,Chloe,21
Pekora,Chloe,12.89
Polka,Chloe,22.14
Raden,Chloe,16.78
Ririka,Chloe,20.87
Roboco,Chloe,30.05
Shion,Chloe,33.9
Sora,Chloe,21.24
Subaru,Chloe,14.61
Suisei,Chloe,17.38
Towa,Chloe,19.67
Watame,Chloe,18.63
Aki,Choco,31.72
Ao,Choco,18.51
Aqua,Choco,12.31
Ayame,Choco,16.98
AZki,Choco,23.12
Botan,Choco,27.78
Chloe,Choco,18.64
Flare,Choco,23.31
Fubuki,Choco,16.57
Hajime,Choco,16.54
Iroha,Choco,20.97
Kanade,Choco,14.69
Kanata,Choco,20.09
Korone,Choco,14.86
Koyori,Choco,14.78
Lamy,Choco,21.11
Laplus,Choco,21.84
Lui,Choco,17.6
Luna,Choco,24.89
Marine,Choco,14.05
Matsuri,Choco,23.81
Mel,Choco,29.35
Miko,Choco,14.32
Mio,Choco,23.02
Nene,Choco,23.76
Noel,Choco,19.71
Okayu,Choco,19.78
Pekora,Choco,11.22
Polka,Choco,26.2
Raden,Choco,14.7
Ririka,Choco,17.75
Roboco,Choco,36.02
Shion,Choco,20.8
Sora,Choco,20.06
Subaru,Choco,16.94
Suisei,Choco,14.94
Towa,Choco,19.7
Watame,Choco,18.76
Aki,Flare,17.59
Ao,Flare,21.58
Aqua,Flare,12.23
Ayame,Flare,17.97
AZki,Flare,33.23
Botan,Flare,27.27
Chloe,Flare,22.15
Choco,Flare,24.24
Fubuki,Flare,20.9
Hajime,Flare,18.72
Iroha,Flare,27.4
Kanade,Flare,16.95
Kanata,Flare,25.01
Korone,Flare,17.46
Koyori,Flare,17.49
Lamy,Flare,23.91
Laplus,Flare,21.84
Lui,Flare,20.49
Luna,Flare,24.42
Marine,Flare,19.41
Matsuri,Flare,22.97
Mel,Flare,29.71
Miko,Flare,17.46
Mio,Flare,27.56
Nene,Flare,25.36
Noel,Flare,23.11
Okayu,Flare,23.11
Pekora,Flare,12.84
Polka,Flare,31.3
Raden,Flare,16.32
Ririka,Flare,19.04
Roboco,Flare,33.51
Shion,Flare,23.6
Sora,Flare,25.03
Subaru,Flare,16.56
Suisei,Flare,20.15
Towa,Flare,21.82
Watame,Flare,25.1
Aki,Fubuki,29.66
Ao,Fubuki,34.33
Aqua,Fubuki,23.03
Ayame,Fubuki,35.36
AZki,Fubuki,47
Botan,Fubuki,40.05
Chloe,Fubuki,36.43
Choco,Fubuki,40.82
Flare,Fubuki,49.51
Hajime,Fubuki,31.36
Iroha,Fubuki,47.66
Kanade,Fubuki,28.57
Kanata,Fubuki,38.71
Korone,Fubuki,30.77
Koyori,Fubuki,30.88
Lamy,Fubuki,36.19
Laplus,Fubuki,39.57
Lui,Fubuki,31.3
Luna,Fubuki,38.67
Marine,Fubuki,27.2
Matsuri,Fubuki,39.69
Mel,Fubuki,46.39
Miko,Fubuki,30.21
Mio,Fubuki,47.23
Nene,Fubuki,38.47
Noel,Fubuki,34.65
Okayu,Fubuki,44.42
Pekora,Fubuki,22.01
Polka,Fubuki,43.12
Raden,Fubuki,26.69
Ririka,Fubuki,31.48
Roboco,Fubuki,48.56
Shion,Fubuki,37.1
Sora,Fubuki,36.59
Subaru,Fubuki,27.73
Suisei,Fubuki,31.02
Towa,Fubuki,37.05
Watame,Fubuki,37.62
Aki,Hajime,15.47
Ao,Hajime,39.91
Aqua,Hajime,13.48
Ayame,Hajime,18.36
AZki,Hajime,25.79
Botan,Hajime,23.66
Chloe,Hajime,24.03
Choco,Hajime,21.71
Flare,Hajime,23.63
Fubuki,Hajime,16.71
Iroha,Hajime,29.81
Kanade,Hajime,32.75
Kanata,Hajime,24.1
Korone,Hajime,16.57
Koyori,Hajime,18.1
Lamy,Hajime,21.85
Laplus,Hajime,29.82
Lui,Hajime,18.7
Luna,Hajime,23.37
Marine,Hajime,17.12
Matsuri,Hajime,22.89
Mel,Hajime,27.49
Miko,Hajime,17.32
Mio,Hajime,23.12
Nene,Hajime,24.81
Noel,Hajime,20.16
Okayu,Hajime,22.15
Pekora,Hajime,14.7
Polka,Hajime,23.96
Raden,Hajime,28.62
Ririka,Hajime,32.6
Roboco,Hajime,29.71
Shion,Hajime,25.57
Sora,Hajime,21.36
Subaru,Hajime,16.56
Suisei,Hajime,18.28
Towa,Hajime,20.69
Watame,Hajime,19.57
Aki,Iroha,12.34
Ao,Iroha,21.2
Aqua,Iroha,11.33
Ayame,Iroha,18.55
AZki,Iroha,26.97
Botan,Iroha,20.69
Chloe,Iroha,23.19
Choco,Iroha,19.11
Flare,Iroha,24
Fubuki,Iroha,17.63
Hajime,Iroha,20.7
Kanade,Iroha,17.86
Kanata,Iroha,22.85
Korone,Iroha,13.74
Koyori,Iroha,16.02
Lamy,Iroha,21.59
Laplus,Iroha,27.08
Lui,Iroha,17.22
Luna,Iroha,20.12
Marine,Iroha,13.42
Matsuri,Iroha,20.84
Mel,Iroha,24.82
Miko,Iroha,13.94
Mio,Iroha,22.86
Nene,Iroha,21.99
Noel,Iroha,18.93
Okayu,Iroha,21.31
Pekora,Iroha,10.45
Polka,Iroha,21.49
Raden,Iroha,15.94
Ririka,Iroha,19.05
Roboco,Iroha,29.14
Shion,Iroha,22.21
Sora,Iroha,20.49
Subaru,Iroha,13.61
Suisei,Iroha,16.54
Towa,Iroha,18.14
Watame,Iroha,18.48
Aki,Kanade,17.84
Ao,Kanade,40.32
Aqua,Kanade,17.46
Ayame,Kanade,22.15
AZki,Kanade,32.05
Botan,Kanade,24.28
Chloe,Kanade,28.99
Choco,Kanade,24.42
Flare,Kanade,27.09
Fubuki,Kanade,19.28
Hajime,Kanade,41.48
Iroha,Kanade,32.58
Kanata,Kanade,28.11
Korone,Kanade,18.96
Koyori,Kanade,21.62
Lamy,Kanade,25.67
Laplus,Kanade,31.33
Lui,Kanade,21.06
Luna,Kanade,26.06
Marine,Kanade,18.91
Matsuri,Kanade,27.22
Mel,Kanade,32.37
Miko,Kanade,19.72
Mio,Kanade,25.88
Nene,Kanade,28.31
Noel,Kanade,21.64
Okayu,Kanade,21.2
Pekora,Kanade,16.47
Polka,Kanade,25.9
Raden,Kanade,29.56
Ririka,Kanade,39.31
Roboco,Kanade,31
Shion,Kanade,28.94
Sora,Kanade,26.44
Subaru,Kanade,17.85
Suisei,Kanade,21.34
Towa,Kanade,25.37
Watame,Kanade,22.92
Aki,Kanata,13.35
Ao,Kanata,17.73
Aqua,Kanata,12.78
Ayame,Kanata,15.93
AZki,Kanata,25.73
Botan,Kanata,20.73
Chloe,Kanata,23.67
Choco,Kanata,19.72
Flare,Kanata,23.6
Fubuki,Kanata,15.42
Hajime,Kanata,18.02
Iroha,Kanata,24.61
Kanade,Kanata,16.59
Korone,Kanata,15.86
Koyori,Kanata,16.56
Lamy,Kanata,23.83
Laplus,Kanata,23.54
Lui,Kanata,17.12
Luna,Kanata,24.47
Marine,Kanata,17.77
Matsuri,Kanata,22.86
Mel,Kanata,25.81
Miko,Kanata,15.15
Mio,Kanata,21.65
Nene,Kanata,24.51
Noel,Kanata,21.05
Okayu,Kanata,18.28
