from,to,value
Amelia,Amelia,
Baelz,Amelia,25.22
Calli,Amelia,20.86
Fauna,Amelia,27.78
Gura,Amelia,21.37
Ina,Amelia,25.91
IRyS,Amelia,29.25
Kiara,Amelia,26.9
Kronii,Amelia,33.07
Mumei,Amelia,35.71
Amelia,Baelz,35.6
Calli,Baelz,32.29
Fauna,Baelz,40.1
Gura,Baelz,29.16
Ina,Baelz,38.16
IRyS,Baelz,48.46
Kiara,Baelz,39.91
Kronii,Baelz,49.25
Mumei,Baelz,55.21
Amelia,Calli,36.78
Baelz,Calli,40.34
Fauna,Calli,36.98
Gura,Calli,32.07
Ina,Calli,42.25
IRyS,Calli,43.62
Kiara,Calli,44.32
Kronii,Calli,45.36
Mumei,Calli,46.16
Amelia,Fauna,28.59
Baelz,Fauna,29.23
Calli,Fauna,21.58
Gura,Fauna,22.66
Ina,Fauna,27.06
IRyS,Fauna,34.5
Kiara,Fauna,27.27
Kronii,Fauna,41.21
Mumei,Fauna,44.37
Amelia,Gura,26.46
Baelz,Gura,25.58
Calli,Gura,22.52
Fauna,Gura,27.26
Ina,Gura,28.05
IRyS,Gura,28.45
Kiara,Gura,26.6
Kronii,Gura,30.58
Mumei,Gura,36.98
Amelia,Ina,29.44
Baelz,Ina,30.71
Calli,Ina,27.22
Fauna,Ina,29.88
Gura,Ina,25.73
IRyS,Ina,32.64
Kiara,Ina,33.8
Kronii,Ina,35.01
Mumei,Ina,39.05
Amelia,IRyS,27.62
Baelz,IRyS,32.4
Calli,IRyS,23.35
Fauna,IRyS,31.64
Gura,IRyS,21.69
Ina,IRyS,27.12
Kiara,IRyS,28.47
Kronii,IRyS,38.71
Mumei,IRyS,42.09
Amelia,Kiara,30.47
Baelz,Kiara,32.02
Calli,Kiara,28.47
Fauna,Kiara,30.01
Gura,Kiara,24.33
Ina,Kiara,33.7
IRyS,Kiara,34.16
Kronii,Kiara,37.06
Mumei,Kiara,40.53
Amelia,Kronii,11.43
Baelz,Kronii,12.06
Calli,Kronii,8.89
Fauna,Kronii,13.84
Gura,Kronii,8.54
Ina,Kronii,10.65
IRyS,Kronii,14.18
Kiara,Kronii,11.31
Mumei,Kronii,20.74
Amelia,Mumei,16.15
Baelz,Mumei,17.69
Calli,Mumei,11.84
Fauna,Mumei,19.5
Gura,Mumei,13.51
Ina,Mumei,15.54
IRyS,Mumei,20.16
Kiara,Mumei,16.18
Kronii,Mumei,27.14
