from,to,value
Anya,Anya,
Iofi,Anya,28.01
Kaela,Anya,16.02
Kobo,Anya,9.45
Moona,Anya,19.49
Ollie,Anya,24.73
Reine,Anya,25.42
Risu,Anya,39.84
Zeta,Anya,21.48
Anya,Iofi,42.29
Kaela,Iofi,21.48
Kobo,Iofi,13.17
Moona,Iofi,25.62
Ollie,Iofi,32.07
Reine,Iofi,33.12
Risu,Iofi,45.61
Zeta,Iofi,30.13
Anya,Kaela,56.28
Iofi,Kaela,49.98
Kobo,Kaela,22.92
Moona,Kaela,43.91
Ollie,Kaela,49.65
Reine,Kaela,48.31
Risu,Kaela,57.05
Zeta,Kaela,43.71
Anya,Kobo,40.9
Iofi,Kobo,37.76
Kaela,Kobo,28.24
Moona,Kobo,31.67
Ollie,Kobo,36.92
Reine,Kobo,35.04
Risu,Kobo,50.62
Zeta,Kobo,36.35
Anya,Moona,53.7
Iofi,Moona,46.76
Kaela,Moona,34.43
Kobo,Moona,20.15
Ollie,Moona,45.2
Reine,Moona,46.75
Risu,Moona,55.51
Zeta,Moona,38.99
Anya,Ollie,43.68
Iofi,Ollie,37.5
Kaela,Ollie,24.95
Kobo,Ollie,15.06
Moona,Ollie,28.97
Reine,Ollie,34.76
Risu,Ollie,44.49
Zeta,Ollie,30.09
Anya,Reine,43.28
Iofi,Reine,37.34
Kaela,Reine,23.41
Kobo,Reine,13.78
Moona,Reine,28.89
Ollie,Reine,33.51
Risu,Reine,43.84
Zeta,Reine,29.92
Anya,Risu,35.37
Iofi,Risu,26.82
Kaela,Risu,14.41
Kobo,Risu,10.38
Moona,Risu,17.89
Ollie,Risu,22.37
Reine,Risu,22.86
Zeta,Risu,20.47
Anya,Zeta,42.6
Iofi,Zeta,39.57
Kaela,Zeta,24.68
Kobo,Zeta,16.65
Moona,Zeta,28.06
Ollie,Zeta,33.8
Reine,Zeta,34.86
Risu,Zeta,45.73
