from,to,value
Anya,Anya,
Iofi,Anya,24.46
Kaela,Anya,10.49
Kobo,Anya,7.22
Moona,Anya,15.03
Ollie,Anya,19.89
Reine,Anya,17.94
Risu,Anya,34.33
Zeta,Anya,18.15
Anya,Iofi,43.93
Kaela,Iofi,16.78
Kobo,Iofi,11.32
Moona,Iofi,23.42
Ollie,Iofi,30.35
Reine,Iofi,24.87
Risu,Iofi,43.78
Zeta,Iofi,27.2
Anya,Kaela,53.57
Iofi,Kaela,47.68
Kobo,Kaela,21.88
Moona,Kaela,41.57
Ollie,Kaela,45.59
Reine,Kaela,38.33
Risu,Kaela,52.72
Zeta,Kaela,40.3
Anya,Kobo,31.3
Iofi,Kobo,27.32
Kaela,Kobo,18.58
Moona,Kobo,25.1
Ollie,Kobo,28.74
Reine,Kobo,25.46
Risu,Kobo,39.18
Zeta,Kobo,27.78
Anya,Moona,55.17
Iofi,Moona,47.87
Kaela,Moona,29.89
Kobo,Moona,21.25
Ollie,Moona,43.95
Reine,Moona,43.63
Risu,Moona,57.25
Zeta,Moona,38.76
Anya,Ollie,43.65
Iofi,Ollie,37.09
Kaela,Ollie,19.6
Kobo,Ollie,14.55
Moona,Ollie,26.28
Reine,Ollie,28.22
Risu,Ollie,42.36
Zeta,Ollie,28.84
Anya,Reine,47.19
Iofi,Reine,36.44
Kaela,Reine,19.75
Kobo,Reine,15.44
Moona,Reine,31.27
Ollie,Reine,33.83
Risu,Reine,43.59
Zeta,Reine,30.95
Anya,Risu,36.78
Iofi,Risu,26.12
Kaela,Risu,11.07
Kobo,Risu,9.68
Moona,Risu,16.71
Ollie,Risu,20.68
Reine,Risu,17.75
Zeta,Risu,19.15
Anya,Zeta,41.64
Iofi,Zeta,34.74
Kaela,Zeta,18.11
Kobo,Zeta,14.69
Moona,Zeta,24.22
Ollie,Zeta,30.13
Reine,Zeta,26.98
Risu,Zeta,41
