from,to,value
Aki,Aki,
Aqua,Aki,13.79
Ayame,Aki,10.67
AZki,Aki,20.83
Botan,Aki,12.67
Chloe,Aki,10.98
Choco,Aki,25.3
Flare,Aki,17.43
Fubuki,Aki,11.69
Haato,Aki,16.8
Iroha,Aki,13.75
Kanata,Aki,12.36
Korone,Aki,10.47
Koyori,Aki,11.55
Lamy,Aki,14.32
Laplus,Aki,13.51
Lui,Aki,15.55
Luna,Aki,18.41
Marine,Aki,11.17
Matsuri,Aki,14.56
Mel,Aki,23.92
Miko,Aki,9.85
Mio,Aki,14.38
Nene,Aki,14.94
Noel,Aki,14.47
Okayu,Aki,11.94
Pekora,Aki,8.49
Polka,Aki,16.45
Roboco,Aki,25.12
Shion,Aki,18.02
Sora,Aki,18.81
Subaru,Aki,10.92
Suisei,Aki,13.68
Towa,Aki,12.29
Watame,Aki,13.51
Aki,Aqua,21.27
Ayame,Aqua,18.08
AZki,Aqua,16.43
Botan,Aqua,11.71
Chloe,Aqua,14.64
Choco,Aqua,19.82
Flare,Aqua,14.75
Fubuki,Aqua,14.03
Haato,Aqua,16.25
Iroha,Aqua,15.05
Kanata,Aqua,13.93
Korone,Aqua,11.08
Koyori,Aqua,13.29
Lamy,Aqua,15.68
Laplus,Aqua,16.73
Lui,Aqua,13.61
Luna,Aqua,16.63
Marine,Aqua,13.59
Matsuri,Aqua,16.05
Mel,Aqua,19.55
Miko,Aqua,12.61
Mio,Aqua,14.83
Nene,Aqua,15.74
Noel,Aqua,14.24
Okayu,Aqua,13.48
Pekora,Aqua,11.34
Polka,Aqua,14.81
Roboco,Aqua,19.05
Shion,Aqua,32.56
Sora,Aqua,16.86
Subaru,Aqua,11.5
Suisei,Aqua,16.37
Towa,Aqua,15.68
Watame,Aqua,13.42
Aki,Ayame,7.73
Aqua,Ayame,8.49
AZki,Ayame,7.29
Botan,Ayame,5.13
Chloe,Ayame,6.38
Choco,Ayame,7.84
Flare,Ayame,6.43
Fubuki,Ayame,6.42
Haato,Ayame,5.65
Iroha,Ayame,6.68
Kanata,Ayame,5.27
Korone,Ayame,4.01
Koyori,Ayame,4.83
Lamy,Ayame,6.71
Laplus,Ayame,8.77
Lui,Ayame,5.5
Luna,Ayame,5.68
Marine,Ayame,4.86
Matsuri,Ayame,6.53
Mel,Ayame,8.28
Miko,Ayame,4.42
Mio,Ayame,6.31
Nene,Ayame,5.99
Noel,Ayame,6.04
Okayu,Ayame,5.72
Pekora,Ayame,3.76
Polka,Ayame,6.56
Roboco,Ayame,7.67
Shion,Ayame,11.24
Sora,Ayame,6.06
Subaru,Ayame,4.35
Suisei,Ayame,7.64
Towa,Ayame,6.01
Watame,Ayame,5.31
Aki,AZki,30.09
Aqua,AZki,15.38
Ayame,AZki,14.53
Botan,AZki,15.27
Chloe,AZki,13.9
Choco,AZki,22.74
Flare,AZki,17.85
Fubuki,AZki,15.21
Haato,AZki,17.24
Iroha,AZki,16.77
Kanata,AZki,14.73
Korone,AZki,11.65
Koyori,AZki,13.73
Lamy,AZki,16.51
Laplus,AZki,15.61
Lui,AZki,16.96
Luna,AZki,19
Marine,AZki,12.83
Matsuri,AZki,15.29
Mel,AZki,25.1
Miko,AZki,11.74
Mio,AZki,16.44
Nene,AZki,16.75
Noel,AZki,15.12
Okayu,AZki,13.1
Pekora,AZki,10.1
Polka,AZki,19.55
Roboco,AZki,24.48
Shion,AZki,18.47
Sora,AZki,22.39
Subaru,AZki,12.78
Suisei,AZki,20.62
Towa,AZki,13.87
Watame,AZki,15.29
Aki,Botan,30.03
Aqua,Botan,17.99
Ayame,Botan,16.77
AZki,Botan,25.04
Chloe,Botan,18.54
Choco,Botan,29.4
Flare,Botan,26.14
Fubuki,Botan,21.68
Haato,Botan,21.37
Iroha,Botan,22.22
Kanata,Botan,20.16
Korone,Botan,19.01
Koyori,Botan,20.02
Lamy,Botan,24.06
Laplus,Botan,21.25
Lui,Botan,26.94
Luna,Botan,25.23
Marine,Botan,18.46
Matsuri,Botan,21.22
Mel,Botan,25.14
Miko,Botan,17.35
Mio,Botan,24.23
Nene,Botan,25.53
Noel,Botan,21.1
Okayu,Botan,19.55
Pekora,Botan,15.96
Polka,Botan,25.8
Roboco,Botan,30.07
Shion,Botan,23.44
Sora,Botan,23
Subaru,Botan,19.36
Suisei,Botan,21.15
Towa,Botan,20.96
Watame,Botan,24.37
Aki,Chloe,33.62
