from,to,value
Aki,Aki,
Ao,Aki,20.93
Aqua,Aki,19.64
Ayame,Aki,18.3
AZki,Aki,20.66
Botan,Aki,26.73
Chloe,Aki,19.43
Choco,Aki,31.17
Flare,Aki,28.04
Fubuki,Aki,16.75
Haato,Aki,23.39
Hajime,Aki,19.87
Iroha,Aki,17.98
Kanade,Aki,16.18
Kanata,Aki,19.63
Korone,Aki,20.88
Koyori,Aki,17.65
Lamy,Aki,21.77
Laplus,Aki,15.96
Lui,Aki,21.55
Luna,Aki,22.51
Marine,Aki,15.05
Matsuri,Aki,33.19
Mel,Aki,41.13
Miko,Aki,16.03
Mio,Aki,22.64
Nene,Aki,18.96
Noel,Aki,19.05
Okayu,Aki,18.54
Pekora,Aki,12.98
Polka,Aki,22.23
Raden,Aki,19.59
Ririka,Aki,19.67
Roboco,Aki,34.64
Shion,Aki,23.03
Sora,Aki,23.81
Subaru,Aki,16.24
Suisei,Aki,16.42
Towa,Aki,26.71
Watame,Aki,20
Aki,Ao,18.59
Aqua,Ao,16.19
Ayame,Ao,15.72
AZki,Ao,17.73
Botan,Ao,20.37
Chloe,Ao,20.62
Choco,Ao,31.6
Flare,Ao,21.41
Fubuki,Ao,15.18
Haato,Ao,22.93
Hajime,Ao,36.59
Iroha,Ao,19.33
Kanade,Ao,24.57
Kanata,Ao,19
Korone,Ao,16.65
Koyori,Ao,16.4
Lamy,Ao,19.99
Laplus,Ao,19.02
Lui,Ao,20.15
Luna,Ao,16.74
Marine,Ao,14.55
Matsuri,Ao,25.43
Mel,Ao,29.85
Miko,Ao,15.09
Mio,Ao,20.27
Nene,Ao,18.07
Noel,Ao,19.06
Okayu,Ao,18.29
Pekora,Ao,11.21
Polka,Ao,24.44
Raden,Ao,30.26
Ririka,Ao,27.01
Roboco,Ao,30.48
Shion,Ao,19.03
Sora,Ao,19.74
Subaru,Ao,15.35
Suisei,Ao,15.39
Towa,Ao,21.21
Watame,Ao,16.75
Aki,Aqua,18.82
Ao,Aqua,17.47
Ayame,Aqua,30.63
AZki,Aqua,20.87
Botan,Aqua,18.18
Chloe,Aqua,28.69
Choco,Aqua,27.75
Flare,Aqua,24.08
Fubuki,Aqua,18.76
Haato,Aqua,23.2
Hajime,Aqua,22.33
Iroha,Aqua,20.75
Kanade,Aqua,22.3
Kanata,Aqua,23.64
Korone,Aqua,21.4
Koyori,Aqua,19.43
Lamy,Aqua,27.19
Laplus,Aqua,21.15
Lui,Aqua,18.56
Luna,Aqua,19.38
Marine,Aqua,21.56
Matsuri,Aqua,25.27
Mel,Aqua,28
Miko,Aqua,18.57
Mio,Aqua,23.77
Nene,Aqua,19.56
Noel,Aqua,21.9
Okayu,Aqua,22.19
Pekora,Aqua,16.21
Polka,Aqua,22.39
Raden,Aqua,18.51
Ririka,Aqua,17.68
Roboco,Aqua,25.52
Shion,Aqua,36.26
Sora,Aqua,21.75
Subaru,Aqua,16.35
Suisei,Aqua,21.12
Towa,Aqua,24.83
