from,to,value
Anya,Anya,
Iofi,Anya,16.27
Kaela,Anya,4.27
Kobo,Anya,2.99
Moona,Anya,10.87
Ollie,Anya,10.01
Reine,Anya,13.81
Risu,Anya,8.25
Zeta,Anya,10.09
Anya,Iofi,20.4
Kaela,Iofi,5.62
Kobo,Iofi,5.99
Moona,Iofi,18.39
Ollie,Iofi,14.02
Reine,Iofi,13.95
Risu,Iofi,18.33
Zeta,Iofi,12.08
Anya,Kaela,24.36
Iofi,Kaela,25.59
Kobo,Kaela,14.67
Moona,Kaela,27.35
Ollie,Kaela,25.81
Reine,Kaela,21.82
Risu,Kaela,23.95
Zeta,Kaela,23.95
Anya,Kobo,5.94
Iofi,Kobo,9.48
Kaela,Kobo,5.1
Moona,Kobo,9.98
Ollie,Kobo,8.45
Reine,Kobo,6.63
Risu,Kobo,8.25
Zeta,Kobo,10.75
Anya,Moona,19.21
Iofi,Moona,25.91
Kaela,Moona,8.47
Kobo,Moona,8.88
Ollie,Moona,15.35
Reine,Moona,16.99
Risu,Moona,18.77
Zeta,Moona,14.08
Anya,Ollie,17.82
Iofi,Ollie,19.91
Kaela,Ollie,8.06
Kobo,Ollie,7.58
Moona,Ollie,15.47
Reine,Ollie,16.99
Risu,Ollie,14.3
Zeta,Ollie,10.2
Anya,Reine,19.8
Iofi,Reine,15.96
Kaela,Reine,5.49
Kobo,Reine,4.79
Moona,Reine,13.79
Ollie,Reine,13.68
Risu,Reine,10.0
Zeta,Reine,11.86
Anya,Risu,18.61
Iofi,Risu,33.02
Kaela,Risu,9.48
Kobo,Risu,9.38
Moona,Risu,23.99
Ollie,Risu,18.13
Reine,Risu,15.75
Zeta,Risu,13.97
Anya,Zeta,18.02
Iofi,Zeta,17.22
Kaela,Zeta,7.5
Kobo,Zeta,9.68
Moona,Zeta,14.24
Ollie,Zeta,10.23
Reine,Zeta,14.78
Risu,Zeta,11.05
