from,to,value
Aki,Aki,
Ao,Aki,5.25
Aqua,Aki,2.64
Ayame,Aki,3.38
AZki,Aki,5.21
Botan,Aki,7.25
Chloe,Aki,3.61
Choco,Aki,15.81
Flare,Aki,6.53
Fubuki,Aki,3.62
Haato,Aki,8.57
Hajime,Aki,3.96
Iroha,Aki,4.13
Kanade,Aki,2.95
Kanata,Aki,4.23
Korone,Aki,3.43
Koyori,Aki,3.95
Lamy,Aki,3.91
Laplus,Aki,3.5
Lui,Aki,6.78
Luna,Aki,6.91
Marine,Aki,3.27
Matsuri,Aki,8.48
Miko,Aki,2.89
Mio,Aki,5.23
Nene,Aki,5.97
Noel,Aki,5.15
Okayu,Aki,2.62
Pekora,Aki,2.88
Polka,Aki,4.65
Raden,Aki,4.19
Ririka,Aki,5.14
Roboco,Aki,13.37
Shion,Aki,3.33
Sora,Aki,7.07
Subaru,Aki,3.82
Towa,Aki,6.03
Watame,Aki,4.7
Aki,Ao,5.12
Aqua,Ao,2.56
Ayame,Ao,1.9
AZki,Ao,3.6
Botan,Ao,4.75
Chloe,Ao,4.22
Choco,Ao,8.42
Flare,Ao,5.1
Fubuki,Ao,3.28
Haato,Ao,5.69
Hajime,Ao,12.46
Iroha,Ao,5.18
Kanade,Ao,8.68
Kanata,Ao,4.02
Korone,Ao,2.88
Koyori,Ao,4.19
Lamy,Ao,3.67
Laplus,Ao,5.91
Lui,Ao,8.21
Luna,Ao,4.14
Marine,Ao,4.36
Matsuri,Ao,6.41
Miko,Ao,2.96
Mio,Ao,3.92
Nene,Ao,5.59
Noel,Ao,4.85
Okayu,Ao,3.51
Pekora,Ao,2.4
Polka,Ao,5.03
Raden,Ao,7.98
Ririka,Ao,10.41
Roboco,Ao,7.67
Shion,Ao,1.54
Sora,Ao,5.11
Subaru,Ao,3.84
Towa,Ao,3.49
Watame,Ao,3.23
Aki,Aqua,4.57
Ao,Aqua,4.53
Ayame,Aqua,9.81
AZki,Aqua,6.06
Botan,Aqua,4.86
Chloe,Aqua,8.38
Choco,Aqua,6.37
Flare,Aqua,5.78
Fubuki,Aqua,6.63
Haato,Aqua,7.24
Hajime,Aqua,5.7
Iroha,Aqua,6.91
Kanade,Aqua,7.52
Kanata,Aqua,7.95
Korone,Aqua,5.5
Koyori,Aqua,6.73
Lamy,Aqua,7.85
Laplus,Aqua,7.72
Lui,Aqua,4.74
Luna,Aqua,5.82
Marine,Aqua,6.75
Matsuri,Aqua,8.48
Miko,Aqua,5.42
Mio,Aqua,6.55
Nene,Aqua,6.75
Noel,Aqua,5.65
Okayu,Aqua,4.83
Pekora,Aqua,5.64
Polka,Aqua,5.15
Raden,Aqua,3.56
Ririka,Aqua,5.98
Roboco,Aqua,6.06
Shion,Aqua,24.87
Sora,Aqua,6.24
Subaru,Aqua,5.12
Towa,Aqua,7.76
Watame,Aqua,4.16
Aki,Ayame,5.68
Ao,Ayame,3.28
Aqua,Ayame,9.55
AZki,Ayame,5.8
Botan,Ayame,5.61
Chloe,Ayame,7.93
Choco,Ayame,8.01
Flare,Ayame,6.17
Fubuki,Ayame,7.38
Haato,Ayame,5.55
Hajime,Ayame,5.12
Iroha,Ayame,8.03
Kanade,Ayame,5.14
Kanata,Ayame,5.36
Korone,Ayame,4.37
Koyori,Ayame,4.93
Lamy,Ayame,6.3
Laplus,Ayame,8.32
Lui,Ayame,4.42
Luna,Ayame,4.19
Marine,Ayame,4.07
Matsuri,Ayame,8.69
Miko,Ayame,3.55
Mio,Ayame,8.86
Nene,Ayame,5.45
Noel,Ayame,4.64
Okayu,Ayame,4.99
Pekora,Ayame,3.56
Polka,Ayame,4.89
Raden,Ayame,3.64
Ririka,Ayame,4.16
Roboco,Ayame,7.45
Shion,Ayame,18.21
Sora,Ayame,5.11
Subaru,Ayame,4.41
Towa,Ayame,8.74
Watame,Ayame,3.91
Aki,AZki,17.05
Ao,AZki,12.07
Aqua,AZki,11.49
Ayame,AZki,11.29
Botan,AZki,14.3
Chloe,AZki,16.08
Choco,AZki,24.85
Flare,AZki,18.12
Fubuki,AZki,14.22
Haato,AZki,16.58
Hajime,AZki,14.98
Iroha,AZki,20.09
Kanade,AZki,15.77
Kanata,AZki,17.58
Korone,AZki,8.91
Koyori,AZki,16.42
Lamy,AZki,15.65
Laplus,AZki,10.37
Lui,AZki,17.06
Luna,AZki,15.07
Marine,AZki,11.74
Matsuri,AZki,18.51
Miko,AZki,10.23
Mio,AZki,21.05
Nene,AZki,16.29
Noel,AZki,14.51
Okayu,AZki,9.92
Pekora,AZki,9.01
Polka,AZki,13.32
Raden,AZki,12.81
Ririka,AZki,16.94
Roboco,AZki,25.86
Shion,AZki,12.05
Sora,AZki,32.86
Subaru,AZki,11.27
Towa,AZki,14.2
Watame,AZki,13.96
Aki,Botan,10.76
Ao,Botan,7.23
Aqua,Botan,4.17
Ayame,Botan,4.95
AZki,Botan,6.48
Chloe,Botan,6.59
Choco,Botan,10.88
Flare,Botan,9.68
Fubuki,Botan,6.08
