from,to,value
Amelia,Amelia,
Baelz,Amelia,15.12
Bijou,Amelia,11.49
Calli,Amelia,13.01
Cecilia,Amelia,9.07
Elizabeth,Amelia,7.95
Fauna,Amelia,15.15
FuwaMoco,Amelia,9.14
Gigi,Amelia,9.58
Gura,Amelia,9.06
IRyS,Amelia,15.57
Ina,Amelia,19.16
Kiara,Amelia,12.92
Kronii,Amelia,15.15
Mumei,Amelia,20.01
Nerissa,Amelia,9.89
Raora,Amelia,7.22
Shiori,Amelia,16.36
Amelia,Baelz,27.43
Bijou,Baelz,18.05
Calli,Baelz,23.87
Cecilia,Baelz,17.51
Elizabeth,Baelz,16.99
Fauna,Baelz,25.34
FuwaMoco,Baelz,19.07
Gigi,Baelz,18.57
Gura,Baelz,14.31
IRyS,Baelz,26.86
Ina,Baelz,24.77
Kiara,Baelz,20.34
Kronii,Baelz,29.34
Mumei,Baelz,38.23
Nerissa,Baelz,19.59
Raora,Baelz,15.21
Shiori,Baelz,30.15
Amelia,Bijou,51.35
Baelz,Bijou,44.47
Calli,Bijou,36.15
Cecilia,Bijou,30.02
Elizabeth,Bijou,27.96
Fauna,Bijou,42.44
FuwaMoco,Bijou,33.61
Gigi,Bijou,31.52
Gura,Bijou,25.02
IRyS,Bijou,44.58
Ina,Bijou,42.99
Kiara,Bijou,31.46
Kronii,Bijou,41.08
Mumei,Bijou,50.15
Nerissa,Bijou,34.05
Raora,Bijou,27.0
Shiori,Bijou,50.46
Amelia,Calli,35.2
Baelz,Calli,35.59
Bijou,Calli,21.87
Cecilia,Calli,21.33
Elizabeth,Calli,22.03
Fauna,Calli,27.87
FuwaMoco,Calli,22.61
Gigi,Calli,22.07
Gura,Calli,17.87
IRyS,Calli,29.95
Ina,Calli,30.84
Kiara,Calli,28.78
Kronii,Calli,32.45
Mumei,Calli,36.47
Nerissa,Calli,24.36
Raora,Calli,19.36
Shiori,Calli,35.35
Amelia,Cecilia,33.72
Baelz,Cecilia,35.9
Bijou,Cecilia,24.97
Calli,Cecilia,29.33
Elizabeth,Cecilia,42.68
Fauna,Cecilia,35.18
FuwaMoco,Cecilia,28.31
Gigi,Cecilia,46.23
Gura,Cecilia,19.74
IRyS,Cecilia,28.42
Ina,Cecilia,31.67
Kiara,Cecilia,30.68
Kronii,Cecilia,31.98
Mumei,Cecilia,40.08
Nerissa,Cecilia,27.55
Raora,Cecilia,37.75
Shiori,Cecilia,39.88
Amelia,Elizabeth,32.23
Baelz,Elizabeth,37.97
Bijou,Elizabeth,25.36
Calli,Elizabeth,33.01
Cecilia,Elizabeth,46.52
Fauna,Elizabeth,30.96
FuwaMoco,Elizabeth,29.56
Gigi,Elizabeth,49.97
Gura,Elizabeth,20.4
IRyS,Elizabeth,29.59
Ina,Elizabeth,29.99
Kiara,Elizabeth,30.5
Kronii,Elizabeth,34.73
Mumei,Elizabeth,39.25
Nerissa,Elizabeth,29.26
Raora,Elizabeth,40.26
Shiori,Elizabeth,40.17
Amelia,Fauna,37.44
Baelz,Fauna,34.53
Bijou,Fauna,23.46
Calli,Fauna,25.47
Cecilia,Fauna,23.38
Elizabeth,Fauna,18.88
FuwaMoco,Fauna,21.87
Gigi,Fauna,22.36
Gura,Fauna,19.82
IRyS,Fauna,30.38
Ina,Fauna,32.88
Kiara,Fauna,26.33
Kronii,Fauna,33.4
Mumei,Fauna,43.37
Nerissa,Fauna,25.37
Raora,Fauna,16.81
Shiori,Fauna,35.18
Amelia,FuwaMoco,27.86
Baelz,FuwaMoco,32.03
Bijou,FuwaMoco,22.9
Calli,FuwaMoco,25.46
Cecilia,FuwaMoco,23.19
Elizabeth,FuwaMoco,22.22
Fauna,FuwaMoco,26.95
Gigi,FuwaMoco,25.28
Gura,FuwaMoco,17.94
IRyS,FuwaMoco,25.54
Ina,FuwaMoco,25.64
Kiara,FuwaMoco,23.38
Kronii,FuwaMoco,27.02
Mumei,FuwaMoco,33.35
Nerissa,FuwaMoco,27.27
Raora,FuwaMoco,20.77
Shiori,FuwaMoco,36.85
Amelia,Gigi,36.06
Baelz,Gigi,38.51
Bijou,Gigi,26.52
Calli,Gigi,30.7
Cecilia,Gigi,46.77
Elizabeth,Gigi,46.37
Fauna,Gigi,34.04
FuwaMoco,Gigi,31.22
Gura,Gigi,21.31
IRyS,Gigi,28.8
Ina,Gigi,31.45
Kiara,Gigi,30.11
Kronii,Gigi,32.86
Mumei,Gigi,41.89
Nerissa,Gigi,28.65
Raora,Gigi,36.19
Shiori,Gigi,41.62
Amelia,Gura,52.94
Baelz,Gura,46.14
Bijou,Gura,32.73
Calli,Gura,38.64
Cecilia,Gura,31.03
Elizabeth,Gura,29.43
Fauna,Gura,46.89
FuwaMoco,Gura,34.44
Gigi,Gura,33.12
IRyS,Gura,38.66
Ina,Gura,43.92
Kiara,Gura,39.34
Kronii,Gura,42.91
Mumei,Gura,55.99
Nerissa,Gura,30.79
Raora,Gura,25.66
Shiori,Gura,43.4
Amelia,IRyS,38.07
Baelz,IRyS,36.2
Bijou,IRyS,24.38
Calli,IRyS,27.07
Cecilia,IRyS,18.68
Elizabeth,IRyS,17.85
Fauna,IRyS,30.05
FuwaMoco,IRyS,20.49
Gigi,IRyS,18.71
Gura,IRyS,16.16
Ina,IRyS,31.29
Kiara,IRyS,22.7
Kronii,IRyS,32.95
Mumei,IRyS,37.3
Nerissa,IRyS,22.35
Raora,IRyS,16.5
Shiori,IRyS,35.7
Amelia,Ina,37.46
Baelz,Ina,26.7
Bijou,Ina,18.8
Calli,Ina,22.29
Cecilia,Ina,16.65
Elizabeth,Ina,14.47
Fauna,Ina,26.02
FuwaMoco,Ina,16.46
Gigi,Ina,16.34
Gura,Ina,14.69
IRyS,Ina,25.03
Kiara,Ina,22.8
Kronii,Ina,24.11
Mumei,Ina,32.92
Nerissa,Ina,16.65
Raora,Ina,13.29
Shiori,Ina,26.21
Amelia,Kiara,43.47
Baelz,Kiara,37.71
Bijou,Kiara,23.67
Calli,Kiara,35.79
Cecilia,Kiara,27.75
Elizabeth,Kiara,25.31
Fauna,Kiara,35.83
FuwaMoco,Kiara,25.81
Gigi,Kiara,26.92
Gura,Kiara,22.63
IRyS,Kiara,31.24
Ina,Kiara,39.22
Kronii,Kiara,35.02
Mumei,Kiara,45.09
Nerissa,Kiara,26.76
Raora,Kiara,22.89
Shiori,Kiara,36.32
Amelia,Kronii,29.92
Baelz,Kronii,31.95
Bijou,Kronii,18.15
Calli,Kronii,23.7
Cecilia,Kronii,16.99
Elizabeth,Kronii,16.93
Fauna,Kronii,26.7
FuwaMoco,Kronii,17.52
Gigi,Kronii,17.25
Gura,Kronii,14.5
IRyS,Kronii,26.64
Ina,Kronii,24.36
Kiara,Kronii,20.57
Mumei,Kronii,36.15
Nerissa,Kronii,21.71
Raora,Kronii,14.81
Shiori,Kronii,32.95
Amelia,Mumei,26.39
Baelz,Mumei,27.8
Bijou,Mumei,14.8
Calli,Mumei,17.78
Cecilia,Mumei,14.21
Elizabeth,Mumei,12.77
Fauna,Mumei,23.14
FuwaMoco,Mumei,14.44
Gigi,Mumei,14.68
Gura,Mumei,12.63
IRyS,Mumei,20.12
Ina,Mumei,22.2
Kiara,Mumei,17.68
Kronii,Mumei,24.13
Nerissa,Mumei,15.57
Raora,Mumei,11.03
Shiori,Mumei,25.05
Amelia,Nerissa,27.57
Baelz,Nerissa,30.1
Bijou,Nerissa,21.23
Calli,Nerissa,25.11
Cecilia,Nerissa,20.65
Elizabeth,Nerissa,20.13
Fauna,Nerissa,28.61
FuwaMoco,Nerissa,24.95
Gigi,Nerissa,21.23
Gura,Nerissa,14.68
IRyS,Nerissa,25.49
Ina,Nerissa,23.74
Kiara,Nerissa,22.18
Kronii,Nerissa,30.63
Mumei,Nerissa,32.91
Raora,Nerissa,18.5
Shiori,Nerissa,39.25
Amelia,Raora,35.61
Baelz,Raora,41.34
Bijou,Raora,29.78
Calli,Raora,35.29
Cecilia,Raora,50.05
Elizabeth,Raora,48.97
Fauna,Raora,33.54
FuwaMoco,Raora,33.62
Gigi,Raora,47.42
Gura,Raora,21.64
IRyS,Raora,33.28
Ina,Raora,33.52
Kiara,Raora,33.55
Kronii,Raora,36.96
Mumei,Raora,41.22
Nerissa,Raora,32.72
Shiori,Raora,45.42
Amelia,Shiori,22.48
Baelz,Shiori,22.84
Bijou,Shiori,15.51
Calli,Shiori,17.96
Cecilia,Shiori,14.73
Elizabeth,Shiori,13.62
Fauna,Shiori,19.56
FuwaMoco,Shiori,16.62
Gigi,Shiori,15.2
Gura,Shiori,10.2
IRyS,Shiori,20.07
Ina,Shiori,18.42
Kiara,Shiori,14.84
Kronii,Shiori,22.92
Mumei,Shiori,26.1
Nerissa,Shiori,19.35
Raora,Shiori,12.66
