from,to,value
Anya,Anya,
Iofi,Anya,13.99
Kaela,Anya,8.2
Kobo,Anya,5.34
Moona,Anya,14.62
Ollie,Anya,11.02
Reine,Anya,19.04
Risu,Anya,11.05
Zeta,Anya,13.37
Anya,Iofi,27.13
Kaela,Iofi,15.22
Kobo,Iofi,13.01
Moona,Iofi,32.61
Ollie,Iofi,19.87
Reine,Iofi,31.93
Risu,Iofi,29.34
Zeta,Iofi,19.73
Anya,Kaela,47.45
Iofi,Kaela,45.4
Kobo,Kaela,25.06
Moona,Kaela,51.09
Ollie,Kaela,36.5
Reine,Kaela,50.35
Risu,Kaela,43.16
Zeta,Kaela,40.15
Anya,Kobo,22.05
Iofi,Kobo,27.69
Kaela,Kobo,17.88
Moona,Kobo,33.13
Ollie,Kobo,19.37
Reine,Kobo,26.78
Risu,Kobo,25.45
Zeta,Kobo,27.03
Anya,Moona,28.16
Iofi,Moona,32.39
Kaela,Moona,17.01
Kobo,Moona,15.46
Ollie,Moona,20.25
Reine,Moona,31.83
Risu,Moona,26.7
Zeta,Moona,21.52
Anya,Ollie,39.27
Iofi,Ollie,36.53
Kaela,Ollie,22.49
Kobo,Ollie,16.72
Moona,Ollie,37.46
Reine,Ollie,42.51
Risu,Ollie,29.21
Zeta,Ollie,27.27
Anya,Reine,25.35
Iofi,Reine,21.92
Kaela,Reine,11.59
Kobo,Reine,8.64
Moona,Reine,22.0
Ollie,Reine,15.88
Risu,Reine,16.5
Zeta,Reine,14.96
Anya,Risu,30.05
Iofi,Risu,41.16
Kaela,Risu,20.3
Kobo,Risu,16.77
Moona,Risu,37.71
Ollie,Risu,22.3
Reine,Risu,33.71
Zeta,Risu,24.56
Anya,Zeta,37.75
Iofi,Zeta,28.73
Kaela,Zeta,19.6
Kobo,Zeta,18.49
Moona,Zeta,31.54
Ollie,Zeta,21.61
Reine,Zeta,31.73
Risu,Zeta,25.49
