from,to,value
Baelz,Baelz,
Bijou,Baelz,14.33
Calli,Baelz,15.73
Cecilia,Baelz,13.05
Elizabeth,Baelz,14.23
FuwaMoco,Baelz,10.82
Gigi,Baelz,13.8
Gura,Baelz,11.05
IRyS,Baelz,26.39
Ina,Baelz,13.91
Kiara,Baelz,17.35
Kronii,Baelz,21.18
Mumei,Baelz,21.48
Nerissa,Baelz,14.16
Raora,Baelz,13.32
Shiori,Baelz,15.11
Baelz,Bijou,19.5
Calli,Bijou,16.51
Cecilia,Bijou,20.99
Elizabeth,Bijou,15.67
FuwaMoco,Bijou,15.9
Gigi,Bijou,21.85
Gura,Bijou,15.29
IRyS,Bijou,22.02
Ina,Bijou,14.85
Kiara,Bijou,16.95
Kronii,Bijou,18.38
Mumei,Bijou,20.57
Nerissa,Bijou,18.87
Raora,Bijou,20.76
Shiori,Bijou,20.88
Baelz,Calli,24.04
Bijou,Calli,18.54
Cecilia,Calli,17.91
Elizabeth,Calli,23.61
FuwaMoco,Calli,13.21
Gigi,Calli,21.32
Gura,Calli,16.13
IRyS,Calli,24.66
Ina,Calli,15.52
Kiara,Calli,29.06
Kronii,Calli,28.82
Mumei,Calli,20.17
Nerissa,Calli,26.77
Raora,Calli,19.0
Shiori,Calli,25.9
Baelz,Cecilia,18.96
Bijou,Cecilia,22.39
Calli,Cecilia,17.02
Elizabeth,Cecilia,23.69
FuwaMoco,Cecilia,11.54
Gigi,Cecilia,33.0
Gura,Cecilia,15.72
IRyS,Cecilia,21.49
Ina,Cecilia,16.41
Kiara,Cecilia,22.19
Kronii,Cecilia,22.65
Mumei,Cecilia,23.78
Nerissa,Cecilia,22.06
Raora,Cecilia,22.52
Shiori,Cecilia,24.75
Baelz,Elizabeth,12.46
Bijou,Elizabeth,10.07
Calli,Elizabeth,13.52
Cecilia,Elizabeth,14.27
FuwaMoco,Elizabeth,7.71
Gigi,Elizabeth,13.77
Gura,Elizabeth,7.16
IRyS,Elizabeth,11.15
Ina,Elizabeth,8.61
Kiara,Elizabeth,15.5
Kronii,Elizabeth,15.06
Mumei,Elizabeth,10.94
Nerissa,Elizabeth,20.66
Raora,Elizabeth,15.13
Shiori,Elizabeth,16.01
Baelz,FuwaMoco,16.03
Bijou,FuwaMoco,17.31
Calli,FuwaMoco,12.81
Cecilia,FuwaMoco,11.77
Elizabeth,FuwaMoco,13.06
Gigi,FuwaMoco,13.11
Gura,FuwaMoco,12.47
IRyS,FuwaMoco,16.11
Ina,FuwaMoco,10.19
Kiara,FuwaMoco,13.56
Kronii,FuwaMoco,13.37
Mumei,FuwaMoco,14.85
Nerissa,FuwaMoco,15.64
Raora,FuwaMoco,15.87
Shiori,FuwaMoco,16.01
Baelz,Gigi,16.12
Bijou,Gigi,18.75
Calli,Gigi,16.3
Cecilia,Gigi,26.55
Elizabeth,Gigi,18.39
FuwaMoco,Gigi,10.34
Gura,Gigi,12.59
IRyS,Gigi,13.89
Ina,Gigi,10.51
Kiara,Gigi,16.38
Kronii,Gigi,17.08
Mumei,Gigi,18.01
Nerissa,Gigi,18.27
Raora,Gigi,15.18
Shiori,Gigi,19.31
Baelz,Gura,15.55
Bijou,Gura,15.8
Calli,Gura,14.85
Cecilia,Gura,15.23
Elizabeth,Gura,11.51
FuwaMoco,Gura,11.84
Gigi,Gura,15.15
IRyS,Gura,17.74
Ina,Gura,16.27
Kiara,Gura,18.27
Kronii,Gura,17.6
Mumei,Gura,21.83
Nerissa,Gura,12.96
Raora,Gura,11.26
Shiori,Gura,13.43
Baelz,IRyS,17.67
Bijou,IRyS,10.83
Calli,IRyS,10.8
Cecilia,IRyS,9.91
Elizabeth,IRyS,8.53
FuwaMoco,IRyS,7.28
Gigi,IRyS,7.96
Gura,IRyS,8.44
Ina,IRyS,8.98
Kiara,IRyS,12.64
Kronii,IRyS,15.79
Mumei,IRyS,14.75
Nerissa,IRyS,11.41
Raora,IRyS,9.5
Shiori,IRyS,12.64
Baelz,Ina,16.7
Bijou,Ina,13.1
Calli,Ina,12.19
Cecilia,Ina,13.56
Elizabeth,Ina,11.81
FuwaMoco,Ina,8.26
Gigi,Ina,10.8
Gura,Ina,13.89
IRyS,Ina,16.11
Kiara,Ina,16.12
Kronii,Ina,14.5
Mumei,Ina,16.91
Nerissa,Ina,11.57
Raora,Ina,11.18
Shiori,Ina,11.46
Baelz,Kiara,12.68
Bijou,Kiara,9.1
Calli,Kiara,13.9
Cecilia,Kiara,11.17
Elizabeth,Kiara,12.95
FuwaMoco,Kiara,6.69
Gigi,Kiara,10.25
Gura,Kiara,9.5
IRyS,Kiara,13.8
Ina,Kiara,9.81
Kronii,Kiara,12.55
Mumei,Kiara,10.89
Nerissa,Kiara,14.44
Raora,Kiara,11.26
Shiori,Kiara,11.93
Baelz,Kronii,15.8
Bijou,Kronii,10.07
Calli,Kronii,14.07
Cecilia,Kronii,11.64
Elizabeth,Kronii,12.84
FuwaMoco,Kronii,6.73
Gigi,Kronii,10.91
Gura,Kronii,9.34
IRyS,Kronii,17.6
Ina,Kronii,9.01
