from,to,value
Anya,Anya,
Iofi,Anya,11.02
Kaela,Anya,3.2
Kobo,Anya,3.47
Moona,Anya,7.43
Ollie,Anya,7.43
Reine,Anya,10.0
Risu,Anya,4.7
Zeta,Anya,7.31
Anya,Iofi,17.11
Kaela,Iofi,7.2
Kobo,Iofi,9.41
Moona,Iofi,23.32
Ollie,Iofi,17.35
Reine,Iofi,15.52
Risu,Iofi,13.49
Zeta,Iofi,10.78
Anya,Kaela,15.89
Iofi,Kaela,22.99
Kobo,Kaela,10.15
Moona,Kaela,21.07
Ollie,Kaela,19.82
Reine,Kaela,18.97
Risu,Kaela,13.8
Zeta,Kaela,17.71
Anya,Kobo,3.42
Iofi,Kobo,5.98
Kaela,Kobo,2.02
Moona,Kobo,6.39
Ollie,Kobo,3.54
Reine,Kobo,3.45
Risu,Kobo,3.47
Zeta,Kobo,4.04
Anya,Moona,10.51
Iofi,Moona,21.26
Kaela,Moona,6.01
Kobo,Moona,9.16
Ollie,Moona,12.21
Reine,Moona,13.97
Risu,Moona,11.08
Zeta,Moona,9.62
Anya,Ollie,10.27
Iofi,Ollie,15.43
Kaela,Ollie,5.52
Kobo,Ollie,4.95
Moona,Ollie,11.92
Reine,Ollie,12.93
Risu,Ollie,6.31
Zeta,Ollie,7.6
Anya,Reine,14.18
Iofi,Reine,14.17
Kaela,Reine,5.42
Kobo,Reine,4.95
Moona,Reine,13.99
Ollie,Reine,13.27
Risu,Reine,6.5
Zeta,Reine,8.47
Anya,Risu,18.58
Iofi,Risu,34.33
Kaela,Risu,10.99
Kobo,Risu,13.86
Moona,Risu,30.92
Ollie,Risu,18.05
Reine,Risu,18.1
Zeta,Risu,16.94
Anya,Zeta,18.58
Iofi,Zeta,17.64
Kaela,Zeta,9.07
Kobo,Zeta,10.4
Moona,Zeta,17.27
Ollie,Zeta,13.98
Reine,Zeta,15.17
Risu,Zeta,10.89
