from,to,value
Aki,Aki,
Ao,Aki,9.04
Ayame,Aki,6
AZki,Aki,6.32
Botan,Aki,10.51
Chihaya,Aki,5.54
Chloe,Aki,5.06
Choco,Aki,15.62
Flare,Aki,8.61
Fubuki,Aki,5.23
Haato,Aki,8.08
Hajime,Aki,6.28
Iroha,Aki,5.52
Kanade,Aki,6.02
Kanata,Aki,6.34
Korone,Aki,5.42
Koyori,Aki,5.63
Lamy,Aki,6.1
Laplus,Aki,12.05
Lui,Aki,8.3
Luna,Aki,8.75
Marine,Aki,5.24
Matsuri,Aki,13.01
Miko,Aki,4.65
Mio,Aki,6.96
Nene,Aki,7.49
Niko,Aki,6.41
Noel,Aki,6.07
Okayu,Aki,5.3
Pekora,Aki,4.17
Polka,Aki,7.36
Raden,Aki,5.15
Riona,Aki,7.29
Ririka,Aki,7.57
Roboco,Aki,14.61
Shion,Aki,6.61
Sora,Aki,8.63
Su,Aki,6.53
Subaru,Aki,4.86
Suisei,Aki,5.01
Towa,Aki,10.85
Vivi,Aki,5.6
Watame,Aki,6.42
Aki,Ao,15.47
Ayame,Ao,12.21
AZki,Ao,13.86
Botan,Ao,15.93
Chihaya,Ao,16.84
Chloe,Ao,13.83
Choco,Ao,17.47
Flare,Ao,15.71
Fubuki,Ao,12.87
Haato,Ao,15.85
Hajime,Ao,24.9
Iroha,Ao,14.15
Kanade,Ao,21.6
Kanata,Ao,16.43
Korone,Ao,14.86
Koyori,Ao,14.11
Lamy,Ao,17.15
Laplus,Ao,18.59
Lui,Ao,17.17
Luna,Ao,15.27
Marine,Ao,15.8
Matsuri,Ao,23.73
Miko,Ao,11.53
Mio,Ao,15.48
Nene,Ao,18.1
Niko,Ao,21.29
Noel,Ao,14.58
Okayu,Ao,17.16
Pekora,Ao,9.73
Polka,Ao,17.96
Raden,Ao,19.14
Riona,Ao,19.64
Ririka,Ao,23.84
Roboco,Ao,20.91
Shion,Ao,14.85
Sora,Ao,15.11
Su,Ao,19.6
Subaru,Ao,13.02
Suisei,Ao,15.18
Towa,Ao,18.31
Vivi,Ao,19.02
Watame,Ao,13.71
Aki,Ayame,6.2
Ao,Ayame,7.36
AZki,Ayame,9.96
Botan,Ayame,10.51
Chihaya,Ayame,8.72
Chloe,Ayame,12.17
Choco,Ayame,16.73
Flare,Ayame,11.59
Fubuki,Ayame,8.79
Haato,Ayame,9.38
Hajime,Ayame,9.33
Iroha,Ayame,13.09
Kanade,Ayame,7.99
Kanata,Ayame,11.48
Korone,Ayame,7.75
Koyori,Ayame,7.1
Lamy,Ayame,9.8
Laplus,Ayame,11.99
Lui,Ayame,9.45
Luna,Ayame,9.24
Marine,Ayame,7.6
Matsuri,Ayame,14.45
Miko,Ayame,5.39
Mio,Ayame,11.85
Nene,Ayame,11.19
Niko,Ayame,7.99
Noel,Ayame,6.41
Okayu,Ayame,8.41
Pekora,Ayame,5.48
Polka,Ayame,9.52
Raden,Ayame,7.9
Riona,Ayame,9.22
Ririka,Ayame,9.93
Roboco,Ayame,14.17
Shion,Ayame,16.11
Sora,Ayame,9.88
Su,Ayame,9.2
Subaru,Ayame,5.51
Suisei,Ayame,11.03
Towa,Ayame,12.23
Vivi,Ayame,7.91
Watame,Ayame,8.6
Aki,AZki,13.29
Ao,AZki,17.03
Ayame,AZki,20.29
Botan,AZki,19.04
Chihaya,AZki,20.09
Chloe,AZki,32.53
Choco,AZki,26.81
Flare,AZki,23.98
Fubuki,AZki,17.92
Haato,AZki,18.92
Hajime,AZki,17.94
Iroha,AZki,25.74
Kanade,AZki,18.85
Kanata,AZki,29.67
Korone,AZki,17.24
Koyori,AZki,19.31
Lamy,AZki,26.5
Laplus,AZki,16.54
Lui,AZki,20.18
Luna,AZki,20.22
Marine,AZki,15.14
Matsuri,AZki,25.23
Miko,AZki,12.37
Mio,AZki,25.32
Nene,AZki,20.94
Niko,AZki,18.27
Noel,AZki,17.2
Okayu,AZki,17.3
Pekora,AZki,11.2
Polka,AZki,21.48
Raden,AZki,16.84
Riona,AZki,19.28
Ririka,AZki,25.74
Roboco,AZki,25.81
Shion,AZki,23.23
Sora,AZki,29.26
Su,AZki,19.43
Subaru,AZki,13.96
Suisei,AZki,19.6
Towa,AZki,21.8
Vivi,AZki,19.59
Watame,AZki,22.38
Aki,Botan,11.6
Ao,Botan,10.27
Ayame,Botan,11.24
AZki,Botan,9.99
Chihaya,Botan,9
Chloe,Botan,7.84
Choco,Botan,25.58
Flare,Botan,15.5
Fubuki,Botan,9.27
Haato,Botan,9.43
Hajime,Botan,11.03
Iroha,Botan,10.42
Kanade,Botan,9.97
Kanata,Botan,12.29
Korone,Botan,9.44
Koyori,Botan,8.29
Lamy,Botan,13.99
Laplus,Botan,11.87
Lui,Botan,12.05
Luna,Botan,10.11
Marine,Botan,7.4
Matsuri,Botan,14.45
Miko,Botan,6
Mio,Botan,12.25
Nene,Botan,17.61
Niko,Botan,11.84
Noel,Botan,7.72
Okayu,Botan,9.23
Pekora,Botan,5.26
Polka,Botan,21.4
Raden,Botan,11.94
Riona,Botan,10.38
Ririka,Botan,12.06
Roboco,Botan,14.61
Shion,Botan,10.02
Sora,Botan,11.27
Su,Botan,8.83
Subaru,Botan,8.39
Suisei,Botan,11.13
Towa,Botan,16.67
Vivi,Botan,9.27
Watame,Botan,10.2
Aki,Chihaya,9.28
Ao,Chihaya,16.48
Ayame,Chihaya,14.15
AZki,Chihaya,16.01
Botan,Chihaya,13.66
Chloe,Chihaya,21.98
Choco,Chihaya,19.43
Flare,Chihaya,16.21
Fubuki,Chihaya,11.79
Haato,Chihaya,13.01
Hajime,Chihaya,22.81
Iroha,Chihaya,20.61
Kanade,Chihaya,16.73
Kanata,Chihaya,14.34
Korone,Chihaya,10.43
Koyori,Chihaya,12.22
Lamy,Chihaya,14.65
Laplus,Chihaya,18.47
Lui,Chihaya,17.26
Luna,Chihaya,10.61
Marine,Chihaya,9.81
Matsuri,Chihaya,18.98
Miko,Chihaya,8.76
Mio,Chihaya,14.38
Nene,Chihaya,13.73
Niko,Chihaya,29.3
Noel,Chihaya,10.84
Okayu,Chihaya,12.13
Pekora,Chihaya,6.71
Polka,Chihaya,16.3
Raden,Chihaya,17.91
Riona,Chihaya,31.78
Ririka,Chihaya,25.46
Roboco,Chihaya,16.62
Shion,Chihaya,15.64
Sora,Chihaya,13.19
Su,Chihaya,29.12
Subaru,Chihaya,9.51
Suisei,Chihaya,14.51
Towa,Chihaya,17.81
Vivi,Chihaya,25.61
Watame,Chihaya,10.74
Aki,Chloe,6.45
Ao,Chloe,10.29
Ayame,Chloe,15.02
AZki,Chloe,19.7
Botan,Chloe,9.05
Chihaya,Chloe,16.71
Choco,Chloe,20.3
Flare,Chloe,12.6
Fubuki,Chloe,9.56
Haato,Chloe,12.53
Hajime,Chloe,14.59
Iroha,Chloe,19.05
Kanade,Chloe,12.33
Kanata,Chloe,20.11
Korone,Chloe,7.92
Koyori,Chloe,13.38
Lamy,Chloe,16.26
Laplus,Chloe,17.14
Lui,Chloe,13.36
Luna,Chloe,12.01
Marine,Chloe,8.56
Matsuri,Chloe,18.25
Miko,Chloe,5.79
Mio,Chloe,11.92
Nene,Chloe,12.61
Niko,Chloe,11.88
Noel,Chloe,9.73
Okayu,Chloe,9.25
Pekora,Chloe,5.76
Polka,Chloe,11.81
Raden,Chloe,12.06
Riona,Chloe,12.97
Ririka,Chloe,20.08
Roboco,Chloe,16.62
Shion,Chloe,20.18
Sora,Chloe,13.55
Su,Chloe,12.48
Subaru,Chloe,6.34
Suisei,Chloe,12.32
Towa,Chloe,13.72
Vivi,Chloe,11.35
Watame,Chloe,9.22
Aki,Choco,4.55
Ao,Choco,2.97
Ayame,Choco,4.72
AZki,Choco,3.71
Botan,Choco,6.75
Chihaya,Choco,3.38
Chloe,Choco,4.64
Flare,Choco,5.42
Fubuki,Choco,2.71
Haato,Choco,4.62
Hajime,Choco,5.68
Iroha,Choco,3.9
Kanade,Choco,3.58
Kanata,Choco,5.24
Korone,Choco,2.89
Koyori,Choco,2.57
Lamy,Choco,5.5
Laplus,Choco,4.48
Lui,Choco,3.63
Luna,Choco,4.87
Marine,Choco,2.36
Matsuri,Choco,6.73
Miko,Choco,1.69
Mio,Choco,3.73
Nene,Choco,6.84
Niko,Choco,3.71
Noel,Choco,2.56
Okayu,Choco,2.92
Pekora,Choco,1.6
Polka,Choco,6.73
Raden,Choco,3.42
Riona,Choco,4.05
Ririka,Choco,4.39
Roboco,Choco,12.34
Shion,Choco,3.46
Sora,Choco,5.19
Su,Choco,3.6
Subaru,Choco,2.78
Suisei,Choco,3.07
Towa,Choco,4.05
Vivi,Choco,3.52
Watame,Choco,3.19
Aki,Flare,7.34
Ao,Flare,7.82
Ayame,Flare,9.57
AZki,Flare,9.72
Botan,Flare,11.97
Chihaya,Flare,8.25
Chloe,Flare,8.43
Choco,Flare,15.87
Fubuki,Flare,7.83
Haato,Flare,9.74
Hajime,Flare,7.92
Iroha,Flare,9.53
Kanade,Flare,7.86
Kanata,Flare,10.08
Korone,Flare,7.6
Koyori,Flare,7.57
Lamy,Flare,9.85
Laplus,Flare,8.9
Lui,Flare,9.75
Luna,Flare,10.77
Marine,Flare,7.42
Matsuri,Flare,12.6
Miko,Flare,5.01
Mio,Flare,11.1
Nene,Flare,11.07
Niko,Flare,9.73
Noel,Flare,8.29
Okayu,Flare,8.28
Pekora,Flare,4.84
Polka,Flare,14.02
Raden,Flare,8.32
Riona,Flare,9.52
Ririka,Flare,11.22
Roboco,Flare,15.92
Shion,Flare,9.03
Sora,Flare,11.8
Su,Flare,8.33
Subaru,Flare,6.15
Suisei,Flare,11.05
Towa,Flare,9.65
Vivi,Flare,8.3
Watame,Flare,9.64
Aki,Fubuki,17.3
Ao,Fubuki,24.85
Ayame,Fubuki,28.13
AZki,Fubuki,28.16
Botan,Fubuki,27.77
Chihaya,Fubuki,23.25
Chloe,Fubuki,24.8
Choco,Fubuki,30.75
Flare,Fubuki,30.37
Haato,Fubuki,22.41
Hajime,Fubuki,23.59
Iroha,Fubuki,31.31
Kanade,Fubuki,24.62
Kanata,Fubuki,28.8
Korone,Fubuki,34.06
Koyori,Fubuki,23.41
Lamy,Fubuki,30.83
Laplus,Fubuki,24.59
Lui,Fubuki,27.1
Luna,Fubuki,22.53
Marine,Fubuki,19.92
Matsuri,Fubuki,37.54
Miko,Fubuki,23.8
Mio,Fubuki,41.05
Nene,Fubuki,28.35
Niko,Fubuki,27.17
Noel,Fubuki,19.37
Okayu,Fubuki,35.7
Pekora,Fubuki,14.66
Polka,Fubuki,34.89
Raden,Fubuki,20.01
Riona,Fubuki,23.86
Ririka,Fubuki,27.24
Roboco,Fubuki,33.42
Shion,Fubuki,26.42
Sora,Fubuki,25.42
Su,Fubuki,26.85
Subaru,Fubuki,24.35
Suisei,Fubuki,33.69
Towa,Fubuki,35.24
Vivi,Fubuki,24.62
Watame,Fubuki,28.5
Aki,Haato,10.28
Ao,Haato,11.78
Ayame,Haato,11.55
AZki,Haato,11.44
Botan,Haato,10.87
Chihaya,Haato,9.87
Chloe,Haato,12.51
Choco,Haato,20.17
Flare,Haato,14.53
Fubuki,Haato,8.62
Hajime,Haato,13.57
Iroha,Haato,10.47
Kanade,Haato,12.96
Kanata,Haato,14.29
Korone,Haato,12.86
Koyori,Haato,10.01
Lamy,Haato,12.18
Laplus,Haato,15.69
Lui,Haato,10.95
Luna,Haato,21.91
Marine,Haato,8.95
Matsuri,Haato,21.56
Miko,Haato,7.37
Mio,Haato,12.52
Nene,Haato,17.11
Niko,Haato,13.18
Noel,Haato,8.98
Okayu,Haato,10.1
Pekora,Haato,7.28
Polka,Haato,16.1
Raden,Haato,10.37
Riona,Haato,15.47
Ririka,Haato,17.39
Roboco,Haato,27.82
Shion,Haato,13.82
Sora,Haato,17.26
Su,Haato,13.51
Subaru,Haato,7.85
Suisei,Haato,10.1
Towa,Haato,10.63
Vivi,Haato,13.28
Watame,Haato,13.1
Aki,Hajime,7.52
Ao,Hajime,17.42
Ayame,Hajime,10.82
AZki,Hajime,10.22
Botan,Hajime,11.97
Chihaya,Hajime,16.31
Chloe,Hajime,13.72
Choco,Hajime,23.37
Flare,Hajime,11.13
Fubuki,Hajime,8.55
Haato,Hajime,12.78
Iroha,Hajime,14.26
Kanade,Hajime,18.7
Kanata,Hajime,11.26
Korone,Hajime,10.76
Koyori,Hajime,8.5
Lamy,Hajime,10.52
Laplus,Hajime,13.87
Lui,Hajime,12.67
Luna,Hajime,13.74
Marine,Hajime,7.93
Matsuri,Hajime,18.14
Miko,Hajime,7.64
Mio,Hajime,10.63
Nene,Hajime,13.53
Niko,Hajime,17.99
Noel,Hajime,7.95
Okayu,Hajime,9.99
Pekora,Hajime,6.03
Polka,Hajime,13.11
Raden,Hajime,17.83
Riona,Hajime,15.89
Ririka,Hajime,18.61
Roboco,Hajime,14.52
Shion,Hajime,10.99
Sora,Hajime,12.79
Su,Hajime,16.77
Subaru,Hajime,8.05
Suisei,Hajime,9.73
Towa,Hajime,12.09
Vivi,Hajime,15.48
Watame,Hajime,10.83
Aki,Iroha,3.55
Ao,Iroha,5.31
Ayame,Iroha,8.15
AZki,Iroha,7.87
Botan,Iroha,6.07
Chihaya,Iroha,7.91
Chloe,Iroha,9.61
Choco,Iroha,8.61
Flare,Iroha,7.18
Fubuki,Iroha,6.09
Haato,Iroha,5.29
Hajime,Iroha,7.65
Kanade,Iroha,6.61
Kanata,Iroha,6.87
Korone,Iroha,4.45
Koyori,Iroha,5.38
Lamy,Iroha,5.93
Laplus,Iroha,7.81
Lui,Iroha,6.78
Luna,Iroha,4.13
Marine,Iroha,4.25
Matsuri,Iroha,9.67
Miko,Iroha,3.66
Mio,Iroha,7.19
Nene,Iroha,6.04
Niko,Iroha,7.45
Noel,Iroha,4.14
Okayu,Iroha,5.03
Pekora,Iroha,2.67
Polka,Iroha,6.48
Raden,Iroha,7.16
Riona,Iroha,7.26
Ririka,Iroha,7.77
Roboco,Iroha,8.66
Shion,Iroha,5.98
Sora,Iroha,7.37
Su,Iroha,7.05
Subaru,Iroha,3.82
Suisei,Iroha,8.03
Towa,Iroha,7.04
Vivi,Iroha,5.71
Watame,Iroha,5.22
Aki,Kanade,13.14
Ao,Kanade,27.55
Ayame,Kanade,16.89
AZki,Kanade,19.56
Botan,Kanade,19.72
Chihaya,Kanade,21.8
Chloe,Kanade,21.14
Choco,Kanade,26.81
Flare,Kanade,20.12
Fubuki,Kanade,16.26
Haato,Kanade,22.24
Hajime,Kanade,34.08
Iroha,Kanade,22.45
Kanata,Kanade,21.9
Korone,Kanade,18.61
Koyori,Kanade,17.19
Lamy,Kanade,20.95
Laplus,Kanade,24.35
Lui,Kanade,22.62
Luna,Kanade,21.42
Marine,Kanade,14.86
Matsuri,Kanade,30.32
Miko,Kanade,14.56
Mio,Kanade,19.53
Nene,Kanade,27.31
Niko,Kanade,26.92
Noel,Kanade,14.61
Okayu,Kanade,17.12
Pekora,Kanade,11.76
Polka,Kanade,20.22
Raden,Kanade,26.43
Riona,Kanade,29.13
Ririka,Kanade,34.7
Roboco,Kanade,24.85
Shion,Kanade,20.2
Sora,Kanade,22.21
Su,Kanade,30.4
Subaru,Kanade,15.04
Suisei,Kanade,20.22
Towa,Kanade,22.94
Vivi,Kanade,25.76
Watame,Kanade,17.92
Aki,Kanata,13.65
Ao,Kanata,20.67
Ayame,Kanata,23.93
AZki,Kanata,30.38
Botan,Kanata,23.97
Chihaya,Kanata,18.42
Chloe,Kanata,33.99
Choco,Kanata,38.75
Flare,Kanata,25.45
Fubuki,Kanata,18.76
Haato,Kanata,24.18
Hajime,Kanata,20.24
Iroha,Kanata,23.01
Kanade,Kanata,21.6
Korone,Kanata,21.53
Koyori,Kanata,21.68
Lamy,Kanata,37.12
Laplus,Kanata,21.68
Lui,Kanata,21.93
Luna,Kanata,32.11
Marine,Kanata,19.25
Matsuri,Kanata,31.58
Miko,Kanata,13.9
Mio,Kanata,24.32
Nene,Kanata,29.77
Niko,Kanata,19.55
Noel,Kanata,19.35
Okayu,Kanata,19.96
Pekora,Kanata,13.77
Polka,Kanata,25.9
Raden,Kanata,17.46
Riona,Kanata,20.26
Ririka,Kanata,28.69
Roboco,Kanata,26.95
Shion,Kanata,28.13
Sora,Kanata,22.48
Su,Kanata,21.94
Subaru,Kanata,17.48
Suisei,Kanata,21.95
Towa,Kanata,26.53
Vivi,Kanata,20.03
Watame,Kanata,20.24
Aki,Korone,11.75
Ao,Korone,18.8
Ayame,Korone,16.27
AZki,Korone,17.76
Botan,Korone,18.52
Chihaya,Korone,13.49
Chloe,Korone,13.47
Choco,Korone,21.53
Flare,Korone,19.32
Fubuki,Korone,22.33
Haato,Korone,21.9
Hajime,Korone,19.46
Iroha,Korone,14.99
Kanade,Korone,18.47
Kanata,Korone,21.67
Koyori,Korone,15.27
Lamy,Korone,22.12
Laplus,Korone,14.42
Lui,Korone,18.75
Luna,Korone,22.91
Marine,Korone,15.08
Matsuri,Korone,22.58
Miko,Korone,18.77
Mio,Korone,24.99
Nene,Korone,24.15
Niko,Korone,16.97
Noel,Korone,14.72
Okayu,Korone,23.03
Pekora,Korone,12.29
Polka,Korone,22.26
Raden,Korone,12.43
Riona,Korone,16.63
Ririka,Korone,19.57
Roboco,Korone,22.75
Shion,Korone,20.74
Sora,Korone,17.09
Su,Korone,17.41
Subaru,Korone,19.06
Suisei,Korone,20.6
Towa,Korone,17.63
Vivi,Korone,17.91
Watame,Korone,18.75
Aki,Koyori,19.13
Ao,Koyori,28.01
Ayame,Koyori,23.38
AZki,Koyori,31.21
Botan,Koyori,25.53
Chihaya,Koyori,24.79
Chloe,Koyori,35.7
Choco,Koyori,30.01
Flare,Koyori,30.2
Fubuki,Koyori,24.07
Haato,Koyori,26.75
Hajime,Koyori,24.13
Iroha,Koyori,28.47
Kanade,Koyori,26.77
Kanata,Koyori,34.23
Korone,Koyori,23.95
Lamy,Koyori,33.41
Laplus,Koyori,27.68
Lui,Koyori,37.12
Luna,Koyori,27.94
Marine,Koyori,27.69
Matsuri,Koyori,36.88
Miko,Koyori,19.19
Mio,Koyori,32.81
Nene,Koyori,29.84
Niko,Koyori,26.24
Noel,Koyori,32.07
Okayu,Koyori,30.77
Pekora,Koyori,23.25
Polka,Koyori,33.96
Raden,Koyori,20.87
Riona,Koyori,27.34
Ririka,Koyori,43.87
Roboco,Koyori,32.98
Shion,Koyori,35.59
Sora,Koyori,34.51
Su,Koyori,28.94
Subaru,Koyori,23.08
Suisei,Koyori,22.93
Towa,Koyori,30.32
Vivi,Koyori,26.97
Watame,Koyori,24.92
Aki,Lamy,13.97
Ao,Lamy,22.94
Ayame,Lamy,21.75
AZki,Lamy,28.86
Botan,Lamy,29.03
Chihaya,Lamy,20.03
Chloe,Lamy,29.24
Choco,Lamy,43.3
Flare,Lamy,26.46
Fubuki,Lamy,21.37
Haato,Lamy,21.93
Hajime,Lamy,20.12
Iroha,Lamy,21.11
Kanade,Lamy,21.98
Kanata,Lamy,39.48
Korone,Lamy,23.38
Koyori,Lamy,22.51
Laplus,Lamy,17.69
Lui,Lamy,22.21
Luna,Lamy,23.4
Marine,Lamy,21.64
Matsuri,Lamy,30.64
Miko,Lamy,15.18
Mio,Lamy,27.92
Nene,Lamy,35.34
Niko,Lamy,22.87
Noel,Lamy,21.94
Okayu,Lamy,26.2
Pekora,Lamy,14.52
Polka,Lamy,30.62
Raden,Lamy,16.39
Riona,Lamy,22.4
Ririka,Lamy,27.95
Roboco,Lamy,27.03
Shion,Lamy,25.43
Sora,Lamy,22.41
Su,Lamy,22.88
Subaru,Lamy,18.55
Suisei,Lamy,20.48
Towa,Lamy,26.71
Vivi,Lamy,21.35
Watame,Lamy,21.23
Aki,Laplus,7.13
Ao,Laplus,6.42
Ayame,Laplus,6.87
AZki,Laplus,4.65
Botan,Laplus,6.36
Chihaya,Laplus,6.52
Chloe,Laplus,7.96
Choco,Laplus,9.1
Flare,Laplus,6.17
Fubuki,Laplus,4.4
Haato,Laplus,7.29
Hajime,Laplus,6.85
Iroha,Laplus,7.19
Kanade,Laplus,6.59
Kanata,Laplus,5.95
Korone,Laplus,3.93
Koyori,Laplus,4.81
Lamy,Laplus,4.57
Lui,Laplus,6.89
Luna,Laplus,6.52
Marine,Laplus,3.73
Matsuri,Laplus,9.39
Miko,Laplus,3.06
Mio,Laplus,5.13
Nene,Laplus,6.62
Niko,Laplus,6.52
Noel,Laplus,3.69
Okayu,Laplus,4.15
Pekora,Laplus,2.74
Polka,Laplus,6.76
Raden,Laplus,6.26
Riona,Laplus,6.55
Ririka,Laplus,7.31
Roboco,Laplus,9.89
Shion,Laplus,6.76
Sora,Laplus,6.08
Su,Laplus,6.78
