VTuber,Consistency Score
Subaru,6.46
Fauna,5.46
Sora,5.41
Koyori,4.81
Ollie,4.74
Pekora,4.11
Fubuki,4.03
Miko,4.02
Lui,3.98
Kaela,3.8
Risu,3.74
Kronii,3.49
Watame,3.44
Iofi,3.08
Chloe,3.03
Bijou,3.0
Shiori,3.0
Kiara,2.99
Korone,2.95
Reine,2.93
Okayu,2.89
Calli,2.87
Flare,2.86
Noel,2.71
Luna,2.68
Botan,2.61
FuwaMoco,2.61
Baelz,2.52
Marine,2.49
Zeta,2.39
Polka,2.35
IRyS,2.34
Ina,2.33
AZki,2.27
Nerissa,2.23
Kobo,2.06
Aki,2.05
Anya,1.96
Moona,1.93
Kanata,1.91
Nene,1.91
Lamy,1.9
Towa,1.85
Mio,1.79
Suisei,1.71
Haato,1.63
Roboco,1.54
Iroha,1.53
Aqua,1.41
Amelia,1.34
Choco,1.28
Mumei,1.26
Matsuri,1.12
Ayame,1.04
Gura,0.83
Shion,0.78
Laplus,0.73
