VTuber,Consistency Score
Kronii,185.63
Fauna,19.64
Luna,15.78
Miko,15.1
Noel,13.99
IRyS,12.75
Botan,10.43
Chloe,9.38
Okayu,9.25
Ollie,8.67
Lamy,8.52
FuwaMoco,8.01
Sora,7.89
AZki,7.39
Kanata,6.28
Watame,6.15
Kiara,5.75
Reine,5.33
Risu,5.08
Kaela,5.07
Towa,5.0
Lui,4.86
Marine,4.64
Ina,4.46
Korone,4.42
Subaru,4.37
Pekora,4.3
Shiori,4.07
Polka,3.87
Iofi,3.79
Fubuki,3.38
Moona,3.36
Haato,3.29
Koyori,3.11
Zeta,2.94
Aqua,2.84
Baelz,2.66
Aki,2.6
Nene,2.48
Nerissa,2.1
Bijou,2.06
Choco,1.78
Roboco,1.68
Flare,1.63
Kobo,1.6
Laplus,1.41
Gura,1.39
Anya,1.28
Calli,1.28
Iroha,1.22
Suisei,1.17
Matsuri,1.01
Amelia,0.99
Mumei,0.95
Ayame,0.94
Mio,0.6
Shion,0.58
