streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Marine,16.99,396.14,0.08,0.10,70.39
Aqua,19.27,348.92,0.11,0.13,91.28
Miko,11.65,315.65,0.04,0.04,101.47
Pekora,14.24,335.99,0.03,0.06,56.13
Gura,244.81,1.80,0.09,0.53,106.87
Suisei,20.63,240.42,0.03,0.05,87.83
Lamy,7.67,287.50,0.02,0.11,52.20
Shion,8.13,283.20,0.04,0.08,47.54
AZki,22.13,102.69,0.05,0.02,210.61
Subaru,7.08,293.42,0.01,0.03,28.14
Kanata,8.85,226.64,0.03,0.08,58.84
Iroha,8.70,182.37,0.02,0.04,96.07
Mio,6.99,141.75,0.03,0.05,121.99
Nene,8.08,181.08,0.03,0.07,52.45
Okayu,3.97,190.66,0.03,0.06,43.11
Chloe,5.78,172.02,0.02,0.06,49.42
Kobo,150.29,0.95,0.06,0.03,75.52
Koyori,4.43,143.51,0.02,0.02,73.21
Korone,9.76,190.86,0.01,0.02,18.84
Ayame,10.64,139.52,0.03,0.07,51.09
Amelia,101.93,1.27,0.04,0.04,87.40
Fubuki,6.24,117.43,0.02,0.05,60.55
Fauna,110.72,0.48,0.01,0.01,72.17
Watame,5.25,101.35,0.02,0.03,72.51
Mumei,117.19,0.48,0.03,0.02,60.18
IRyS,97.23,6.69,0.01,0.01,73.59
Noel,4.35,144.64,0.03,0.05,27.06
Polka,5.17,139.74,0.01,0.04,22.51
Towa,11.09,107.96,0.08,0.03,45.38
Kronii,104.56,0.59,0.20,0.02,54.71
Kiara,92.37,5.38,0.10,0.03,54.07
Baelz,83.10,6.73,0.22,0.01,37.46
Botan,10.97,76.93,0.02,0.21,38.55
Lui,3.87,85.44,0.01,0.02,26.56
Flare,2.30,73.02,0.01,0.02,37.49
Sora,5.50,82.40,0.05,0.03,23.49
Calli,81.43,0.83,0.01,0.03,27.54
Haato,16.73,47.29,0.01,0.02,43.50
Matsuri,4.82,71.75,0.03,0.04,16.91
Roboco,8.46,61.04,0.02,0.03,17.28
Zeta,46.93,3.92,0.02,0.01,18.87
Luna,4.80,52.28,0.01,0.03,11.01
Kaela,50.53,0.15,0.01,0.01,14.74
Choco,2.72,53.78,0.01,0.02,5.80
Mel,3.68,47.94,0.02,0.02,10.38
Risu,40.47,0.66,0.00,0.00,13.38
Reine,30.21,0.52,0.00,0.00,14.91
Aki,3.58,32.14,0.01,0.01,8.19
Iofi,28.90,2.43,0.01,0.00,11.15
Ollie,33.46,0.30,0.03,0.01,7.69
Moona,30.00,0.50,0.01,0.02,10.11
Anya,13.18,3.30,0.00,0.00,4.14
