member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year
Miko,1850,791,2254,1913,2769,578
Pekora,1936,1067,899,1565,4215,0
Watame,982,599,1548,1053,2335,651
Suisei,960,481,1551,1588,2437,0
Marine,1767,275,849,866,1716,833
Lamy,816,251,1233,1158,2621,0
Koyori,907,659,1477,2491,0,0
Fubuki,938,395,1000,1174,1185,444
Flare,1225,691,658,700,1320,519
Ina,403,284,830,851,2590,0
Kanata,648,292,927,842,1323,618
Gura,233,201,593,704,2594,0
Towa,928,240,969,834,940,333
Okayu,442,207,906,853,1348,457
Nene,880,528,540,747,1489,0
Amelia,887,231,402,649,1960,0
Subaru,225,170,520,1102,1549,519
Mumei,891,392,619,2130,0,0
Iroha,451,363,749,2394,0,0
Botan,937,282,593,618,1453,0
Calli,651,273,497,834,1591,0
Fauna,708,288,714,2000,0,0
Noel,567,247,615,724,1024,456
Lui,903,636,690,1348,0,0
Kronii,566,212,484,2277,0,0
Korone,178,143,429,675,1405,699
Aqua,215,102,517,612,1331,702
Mio,127,122,771,523,1248,677
Kaela,1629,558,821,0,0,0
IRyS,433,159,439,1105,861,0
Polka,568,133,472,459,1357,0
Laplus,108,187,676,1980,0,0
Kiara,255,140,379,602,1511,0
Chloe,315,182,483,1884,0,0
Kobo,946,465,1445,0,0,0
Luna,804,367,288,432,576,282
Baelz,576,158,488,1492,0,0
Sora,682,282,288,277,1019,0
Matsuri,932,231,186,262,404,245
Shion,110,76,322,489,791,225
Haato,248,36,190,214,666,179
Zeta,447,347,651,0,0,0
Moona,438,204,272,157,279,18
Reine,327,107,244,214,431,0
Roboco,274,114,151,162,267,195
AZki,203,66,156,100,475,0
Aki,53,28,242,155,339,166
Mel,409,30,138,94,109,85
Iofi,257,111,126,55,139,27
Ollie,113,41,106,123,292,0
Choco,67,0,151,452,0,0
Risu,196,81,135,63,169,0
Anya,150,51,88,252,0,0
