member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Miko,1348,771,1960,2540,2999,2310,1551,548
Amelia,4865,499,588,368,561,618,1282,0
Fubuki,1091,540,1107,1280,1743,1332,920,620
Pekora,642,477,954,1068,5282,0,0,0
Subaru,507,388,749,751,1065,1031,997,426
Watame,401,223,565,683,1237,871,1056,521
Calli,974,409,651,648,738,654,771,233
Koyori,335,225,538,654,1449,1839,0,0
Suisei,287,162,439,770,3298,0,0,0
FuwaMoco,709,323,635,930,2350,0,0,0
Marine,235,164,488,678,1041,840,800,610
Okayu,380,286,541,880,904,727,710,328
AZki,376,224,858,1273,1427,187,220,0
Raora,1011,631,2770,0,0,0,0,0
Mio,341,221,686,597,760,660,1039,0
Kanata,359,212,405,501,1078,724,603,396
Cecilia,890,567,2655,0,0,0,0,0
Bijou,625,245,617,897,1679,0,0,0
Raden,566,381,473,1345,1231,0,0,0
Ina,338,129,244,235,527,658,1145,381
Fauna,280,192,437,433,968,795,551,0
Gigi,1055,819,1769,0,0,0,0,0
Korone,220,110,352,401,641,1867,0,0
Kiara,512,213,402,388,488,486,801,289
Polka,409,275,764,426,478,452,410,262
Luna,270,168,456,507,858,434,393,242
Kanade,693,319,504,1778,0,0,0,0
Noel,296,167,490,473,703,386,387,221
Elizabeth,707,694,1718,0,0,0,0,0
Lamy,111,106,321,285,546,744,547,403
Hajime,737,314,529,1045,391,0,0,0
Shiori,595,228,469,615,1099,0,0,0
Iroha,120,67,291,404,740,1136,0,0
Shion,222,286,341,188,453,468,503,262
Nerissa,302,182,331,599,1295,0,0,0
Ririka,443,227,472,980,573,0,0,0
Baelz,397,171,339,446,574,451,305,0
IRyS,224,67,233,327,587,681,555,0
Botan,199,100,243,286,484,436,499,247
Kronii,263,139,304,306,411,1066,0,0
Sora,216,150,304,328,541,293,547,0
Chloe,141,112,268,291,612,932,0,0
Lui,215,103,338,355,519,797,0,0
Flare,95,52,161,231,474,517,506,290
Kaela,313,154,333,360,593,399,0,0
Mumei,217,73,234,223,403,984,0,0
Laplus,195,69,164,183,1188,0,0,0
Ao,373,192,356,605,193,0,0,0
Gura,104,54,133,159,203,293,773,0
Aki,96,66,192,389,310,165,212,0
Towa,49,42,127,167,384,330,199,96
Nene,58,12,123,142,308,234,267,125
Risu,239,142,305,200,140,66,51,22
Haato,151,57,137,177,92,144,224,90
Ollie,285,97,167,131,134,236,0,0
Roboco,89,70,112,176,178,390,0,0
Zeta,206,79,144,118,190,188,0,0
Ayame,47,32,54,90,133,454,0,0
Kobo,80,24,103,124,169,197,0,0
Matsuri,57,22,55,78,151,321,0,0
Choco,70,37,93,107,150,85,86,0
Reine,104,40,57,52,55,103,163,0
Moona,71,30,53,46,78,84,73,13
Iofi,66,31,70,57,76,44,70,0
Anya,55,28,48,50,66,42,61,0
