Member,Percent
Watame,45.3
Lamy,37.79
Ayame,37.15
Raden,36.27
Azki,35.49
Mumei,35.32
Kanata,32.63
Chloe,32.08
Suisei,31.56
Luna,30.72
Sora,29.81
Kiara,28.38
Ina,27.92
Flare,27.45
Mio,26.77
Marine,26.43
Miko,25.73
Nerissa,25.58
Shiori,25.11
Kanade,24.89
Nene,24.66
IRyS,24.5
Kronii,24.49
Ririka,23.44
FuwaMoco,23.43
Laplus,23.28
Iroha,22.83
Hajime,22.71
Pekora,22.23
Botan,21.9
Aki,21.89
Koyori,21.47
Amelia,21.46
Aqua,21.36
Noel,20.95
Mel,20.46
Fubuki,20.38
Fauna,19.28
Okayu,19.23
Korone,18.87
Polka,18.83
Calli,18.72
Lui,17.79
Subaru,17.71
Towa,17.37
Matsuri,16.6
Roboco,15.12
Baelz,14.8
Gura,14.76
Anya,13.74
Bijou,13.65
Haato,13.55
Zeta,12.52
Reine,12.26
Kaela,12.26
Choco,11.34
Moona,11.17
Ao,10.31
Risu,9.87
Ollie,7.92
Kobo,6.67
Iofi,6.02
