,
Astel,4.77
Kiara,4.22
Watame,4.21
Moona,3.92
Korone,3.88
Miko,3.88
Izuru,3.7
Flare,3.51
Aruran,3.47
Pekora,3.43
Rushia,3.4
Calli,3.19
Noel,3.05
Coco,3.04
Amelia,2.95
Kanata,2.9
Aki,2.9
Okayu,2.84
Lamy,2.8
Aqua,2.8
Gura,2.68
Temma,2.48
Roboco,2.45
Reine,2.43
Botan,2.38
Matsuri,2.38
Subaru,2.36
Shion,2.35
Nene,2.33
Ayame,2.27
Polka,2.25
Marine,2.24
Towa,2.23
Ina,2.21
Fubuki,2.2
Choco,2.12
Anya,2.12
Rikka,2.07
Mel,1.99
Ollie,1.98
Iofi,1.95
Risu,1.87
Mio,1.85
Shien,1.81
Sora,1.74
Roberu,1.72
Oga,1.63
Haato,1.56
Miyabi,1.54
AZki,1.45
Suisei,1.43
Luna,1.25
