,
Watame,9299
Pekora,7433
Subaru,4604
Fubuki,4107
Haato,4020
Roberu,3731
Korone,3402
Botan,3322
Oga,3023
Aki,2931
Rushia,2809
Roboco,2748
Shien,2297
Luna,2273
Rikka,1823
Ayame,1811
Aruran,1484
Izuru,1280
Flare,1190
Lamy,1126
Iofi,1103
Miyabi,1073
Okayu,1050
Sora,939
Marine,934
Temma,908
Nene,792
Mel,713
Shion,662
Coco,635
Suisei,612
Towa,535
Risu,435
Mio,372
Polka,355
Astel,300
Aqua,277
Choco,203
Moona,199
Noel,162
Kira,137
Kanata,133
Matsuri,87
Miko,0
