,
Lamy,2
Chloe,1.94
Aqua,1.77
Ayame,1.72
Sora,1.44
Roboco,1.42
Haato,1.42
Mel,1.26
Iroha,1.17
Iofi,0.98
Moona,0.8
Subaru,0.73
Risu,0.73
Towa,0.7
Okayu,0.56
Fubuki,0.53
Mio,0.4
Ollie,0.38
AZki,0.35
Luna,0.3
Mumei,0.29
Rushia,0.23
Watame,0.2
Rikka,0.2
Suisei,0.19
Aki,0.19
Korone,0.19
Pekora,0.17
Anya,0.15
Nene,0.14
Laplus,0.14
Miko,0.08
Reine,0.07
Aruran,0.06
Choco,0.05
Roberu,0.05
Botan,0.04
Koyori,0.03
Astel,0.03
Kanata,0.02
Polka,0.02
Lui,0.02
Oga,0.02
Flare,0.01
Matsuri,0
Shion,0
Noel,0
Marine,0
Miyabi,0
Izuru,0
Temma,0
Shien,0
